gene_id,SRR29040880,SRR29040882
gene-SUSD2|SUSD2,0,0
gene-SMARCD3|SMARCD3,628,67
gene-CHPF2|CHPF2,420,413
gene-TMUB1|TMUB1,0,0
gene-LOC134395485|LOC134395485,0,0
gene-FASTK|FASTK,0,0
gene-SLC4A2|SLC4A2,58,346
gene-ABCF2|ABCF2,3231,674
gene-ASB10|ASB10,0,28
gene-GBX1|GBX1,0,0
gene-IQCA1L|IQCA1L,718,12
gene-AGAP3|AGAP3,256,331
gene-ASIC3|ASIC3,77,53
gene-CDK5|CDK5,1186,1473
gene-LOC134395342|LOC134395342,229,149
gene-LOC134395351|LOC134395351,0,0
gene-NOS3|NOS3,0,101
gene-KCNH2|KCNH2,96,308
gene-ATG9B|ATG9B,610,503
gene-ABCB8|ABCB8,236,390
gene-MRPS12|MRPS12,95,319
gene-LOC134395533|LOC134395533,0,0
gene-LOC134395502|LOC134395502,1249,747
gene-LOC134396902|LOC134396902,0,0
gene-LOC134413381|LOC134413381,6,0
gene-LOC134413380|LOC134413380,149,102
gene-RARRES2|RARRES2,0,0
gene-LRRC61|LRRC61,0,8
gene-LOC134395662|LOC134395662,241,129
gene-LOC134413390|LOC134413390,9,42
gene-LOC134413391|LOC134413391,4,18
gene-LOC134395595|LOC134395595,0,0
gene-LOC134395632|LOC134395632,0,0
gene-LOC134397736|LOC134397736,0,0
gene-LOC134413382|LOC134413382,0,0
gene-LOC134395683|LOC134395683,0,0
gene-LOC134395672|LOC134395672,0,0
gene-LOC134395723|LOC134395723,0,0
gene-LOC134395639|LOC134395639,0,0
gene-LOC134395739|LOC134395739,0,0
gene-LOC134398539|LOC134398539,0,0
gene-LOC134413383|LOC134413383,0,0
gene-LOC134413384|LOC134413384,0,0
gene-LOC134400357|LOC134400357,0,0
gene-LOC134413386|LOC134413386,47,0
gene-ZNF775|ZNF775,760,115
gene-ZNF467|ZNF467,75,95
gene-LOC134413389|LOC134413389,0,0
gene-LOC134395812|LOC134395812,0,0
gene-LOC134395767|LOC134395767,1017,175
gene-LOC134395795|LOC134395795,43,57
gene-LOC134395784|LOC134395784,132,25
gene-LOC134395923|LOC134395923,1816,583
gene-CDC25A|CDC25A,5094,45
gene-BPNT2|BPNT2,495,808
gene-GALNT4|GALNT4,658,402
gene-HIGD1A|HIGD1A,772,355
gene-NDUFA4|NDUFA4,0,1136
gene-LOC134395951|LOC134395951,441,152
gene-LOC134395974|LOC134395974,1033,370
gene-TBRG4|TBRG4,147,95
gene-NACAD|NACAD,3279,21
gene-ELP6|ELP6,0,0
gene-CSPG5|CSPG5,96,10
gene-CCM2|CCM2,803,134
gene-LOC134404715|LOC134404715,0,0
gene-LOC134413504|LOC134413504,0,0
gene-LOC134413505|LOC134413505,0,0
gene-LOC134405513|LOC134405513,0,0
gene-LOC134395914|LOC134395914,71,11
gene-PTPN23|PTPN23,955,227
gene-SCAP|SCAP,2870,476
gene-SMARCC1|SMARCC1,12222,2745
gene-LOC134413397|LOC134413397,3258,625
gene-LOC134395999|LOC134395999,15,38
gene-DHX30|DHX30,3954,201
gene-LOC134413398|LOC134413398,1055,214
gene-LOC134413399|LOC134413399,14,0
gene-LOC134396074|LOC134396074,149,47
gene-LOC134396014|LOC134396014,202,71
gene-LOC134396122|LOC134396122,4304,170
gene-LOC134396139|LOC134396139,10,8
gene-ZNF777|ZNF777,567,99
gene-LOC134413400|LOC134413400,0,0
gene-LOC134407310|LOC134407310,137,17
gene-LOC134396023|LOC134396023,0,0
gene-LOC134408117|LOC134408117,0,0
gene-KLHL18|KLHL18,755,69
gene-LOC134396164|LOC134396164,0,0
gene-KIF9|KIF9,421,160
gene-LOC134413542|LOC134413542,0,0
gene-LOC134409484|LOC134409484,6,0
gene-LOC134413404|LOC134413404,0,0
gene-LOC134408917|LOC134408917,0,0
gene-SETD2|SETD2,3477,1462
gene-CCDC12|CCDC12,0,0
gene-MYL3|MYL3,0,0
gene-ALS2CL|ALS2CL,48,251
gene-PTH1R|PTH1R,133,167
gene-NBEAL2|NBEAL2,680,1279
gene-JMJD4|JMJD4,2567,329
gene-WNT9A|WNT9A,28,12
gene-SNAP47|SNAP47,1021,42
gene-LOC134413349|LOC134413349,8,9
gene-C1H1orf35|C1H1orf35,118,81
gene-GUK1|GUK1,724,605
gene-GJC2|GJC2,46,58
gene-IBA57|IBA57,754,68
gene-ARF1|ARF1,21166,12992
gene-LOC134413350|LOC134413350,198,554
gene-LOC134396239|LOC134396239,16,0
gene-OBSCN|OBSCN,48,511
gene-CCDC13|CCDC13,243,168
gene-VIPR1|VIPR1,298,78
gene-LOC134392376|LOC134392376,0,0
gene-HHATL|HHATL,62,15
gene-KLHL40|KLHL40,0,0
gene-NKTR|NKTR,1984,812
gene-SEC22C|SEC22C,38,32
gene-ZBTB47|ZBTB47,586,256
gene-LOC134396511|LOC134396511,0,0
gene-MINDY4|MINDY4,103,37
gene-GHRHR|GHRHR,0,0
gene-AQP1|AQP1,44,82
gene-COL1A2|COL1A2,7089,3349
gene-CASD1|CASD1,2932,1676
gene-SGCE|SGCE,485,927
gene-LOC134413352|LOC134413352,0,0
gene-LOC134413464|LOC134413464,0,0
gene-PPP1R9A|PPP1R9A,227,249
gene-ASB4|ASB4,16,0
gene-LOC134396558|LOC134396558,792,403
gene-PDK4|PDK4,4217,21038
gene-DYNC1I1|DYNC1I1,149,63
gene-SLC25A13|SLC25A13,2780,504
gene-DLX6|DLX6,0,0
gene-DLX5|DLX5,11,0
gene-TAC1|TAC1,0,30
gene-SDHAF3|SDHAF3,0,7
gene-LOC134396690|LOC134396690,3895,4496
gene-UMAD1|UMAD1,46,129
gene-ASNS|ASNS,86,110
gene-C1GALT1|C1GALT1,1917,226
gene-COL28A1|COL28A1,91,119
gene-MIOS|MIOS,5002,1200
gene-RPA3|RPA3,1946,363
gene-GLCCI1|GLCCI1,3838,2570
gene-ICA1|ICA1,3387,1502
gene-NXPH1|NXPH1,435,11
gene-PHF14|PHF14,4738,4909
gene-TMEM106B|TMEM106B,1390,267
gene-LOC134396937|LOC134396937,0,0
gene-LOC134392904|LOC134392904,15,24
gene-LOC134413353|LOC134413353,546,0
gene-VWDE|VWDE,35,0
gene-SCIN|SCIN,83,932
gene-THSD7A|THSD7A,169,160
gene-LOC134393117|LOC134393117,48,50
gene-LOC134393192|LOC134393192,9,0
gene-ARL4A|ARL4A,4587,8088
gene-ETV1|ETV1,2896,2097
gene-MEOX2|MEOX2,24,77
gene-DGKB|DGKB,143,0
gene-AGMO|AGMO,417,4
gene-SOSTDC1|SOSTDC1,26,272
gene-LRRC72|LRRC72,0,0
gene-CRPPA|CRPPA,269,42
gene-BZW2|BZW2,2481,1095
gene-TSPAN13|TSPAN13,1188,679
gene-ANKMY2|ANKMY2,2201,458
gene-AGR2|AGR2,197,2266
gene-AGR3|AGR3,66,0
gene-LOC134393759|LOC134393759,23,2
gene-AHR|AHR,1458,992
gene-LOC134413411|LOC134413411,10,0
gene-TWIST1|TWIST1,19,69
gene-HDAC9|HDAC9,264,208
gene-SNX13|SNX13,7421,2403
gene-TMEM196|TMEM196,0,0
gene-POLR1F|POLR1F,2137,219
gene-ITGB8|ITGB8,46,86
gene-LOC134397207|LOC134397207,36,452
gene-MACC1|MACC1,2751,256
gene-LOC134397226|LOC134397226,10,51
gene-SP4|SP4,655,448
gene-DNAH11|DNAH11,1838,6759
gene-CDCA7L|CDCA7L,1628,221
gene-RAPGEF5|RAPGEF5,2183,186
gene-LOC134413416|LOC134413416,831,0
gene-TOMM7|TOMM7,763,760
gene-HYCC1|HYCC1,5867,374
gene-KLHL7|KLHL7,2157,557
gene-NUP42|NUP42,896,0
gene-GPNMB|GPNMB,810,33
gene-MALSU1|MALSU1,342,71
gene-IGF2BP3|IGF2BP3,12731,177
gene-TRA2A|TRA2A,4280,2347
gene-CCDC126|CCDC126,504,1026
gene-FAM221A|FAM221A,889,431
gene-STK31|STK31,1358,0
gene-TMEM158|TMEM158,60,24
gene-DPPA2|DPPA2,0,0
gene-LOC134394182|LOC134394182,0,0
gene-PALS2|PALS2,4197,162
gene-CDCP1|CDCP1,69,22
gene-NPY|NPY,6,7
gene-GSDME|GSDME,951,0
gene-ZDHHC3|ZDHHC3,5954,609
gene-EXOSC7|EXOSC7,948,256
gene-CLEC3B|CLEC3B,206,1638
gene-LARS2|LARS2,4093,320
gene-LIMD1|LIMD1,3099,374
gene-SACM1L|SACM1L,9220,1357
gene-SLC6A20|SLC6A20,107,66
gene-SNRPD1|SNRPD1,5267,1207
gene-XCR1|XCR1,3,0
gene-LOC134397412|LOC134397412,0,8
gene-LOC134397421|LOC134397421,11,6
gene-FYCO1|FYCO1,69,294
gene-LZTFL1|LZTFL1,2568,2291
gene-TOPBP1|TOPBP1,3870,708
gene-TMEM108|TMEM108,358,253
gene-NPHP3|NPHP3,331,137
gene-CDV3|CDV3,8547,2605
gene-UBA5|UBA5,881,136
gene-ACKR4|ACKR4,0,0
gene-ACAD11|ACAD11,244,181
gene-LOC134413420|LOC134413420,0,0
gene-LOC134397773|LOC134397773,0,0
gene-LOC134397837|LOC134397837,0,0
gene-CPNE4|CPNE4,837,27
gene-MRPL3|MRPL3,1282,262
gene-DNAJC13|DNAJC13,19769,1710
gene-ASTE1|ASTE1,538,150
gene-NEK11|NEK11,13,799
gene-ATP2C1|ATP2C1,5681,3425
gene-LOC134413422|LOC134413422,15,363
gene-PIK3R4|PIK3R4,3619,589
gene-LOC134397854|LOC134397854,51,504
gene-COL6A6|COL6A6,10,26
gene-CAPN7|CAPN7,2095,337
gene-SH3BP5|SH3BP5,3273,862
gene-METTL6|METTL6,926,110
gene-EAF1|EAF1,2103,395
gene-MTURN|MTURN,1655,944
gene-GGCT|GGCT,123,50
gene-NOD1|NOD1,241,166
gene-LOC134397870|LOC134397870,0,0
gene-ZNRF2|ZNRF2,2249,772
gene-ENTPD3|ENTPD3,774,538
gene-RPL14|RPL14,10486,30887
gene-GASK1A|GASK1A,1275,18
gene-POMGNT2|POMGNT2,5625,98
gene-SNRK|SNRK,1945,3130
gene-ABHD5|ABHD5,627,1642
gene-ANO10|ANO10,5552,944
gene-TOPAZ1|TOPAZ1,1332,0
gene-TCAIM|TCAIM,1375,220
gene-TRIM71|TRIM71,2490,0
gene-CNOT10|CNOT10,8461,1046
gene-CMTM6|CMTM6,0,0
gene-CMTM7|CMTM7,45,17
gene-DYNC1LI1|DYNC1LI1,7768,2132
gene-GPD1L|GPD1L,38,209
gene-CMTM8|CMTM8,1869,416
gene-OSBPL10|OSBPL10,6199,677
gene-GADL1|GADL1,197,210
gene-TGFBR2|TGFBR2,1061,772
gene-STT3B|STT3B,19129,6317
gene-ZCWPW2|ZCWPW2,3,0
gene-CMC1|CMC1,0,0
gene-AZI2|AZI2,923,398
gene-RBMS3|RBMS3,153,518
gene-LOC134413429|LOC134413429,12,169
gene-LOC134413428|LOC134413428,49,367
gene-EOMES|EOMES,19622,0
gene-MKX|MKX,128,0
gene-RAB18|RAB18,9656,2455
gene-ODAD2|ODAD2,1722,4709
gene-MPP7|MPP7,925,504
gene-BAMBI|BAMBI,326,419
gene-MAP3K8|MAP3K8,664,254
