gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-COQ6|COQ6,12,0,0,8,36,0
gene-FAM161B|FAM161B,0,0,0,0,0,0
gene-ZNF410|ZNF410,0,0,0,12,152,0
gene-FBXO33|FBXO33,365,141,132,602,2066,413
gene-MIA2|MIA2,0,0,0,0,0,0
gene-TRAPPC6B|TRAPPC6B,0,0,0,0,0,0
gene-PROSER1|PROSER1,45,19,20,43,225,91
gene-PNN|PNN,848,191,124,160,983,1797
gene-FOXA1|FOXA1,0,47,32,0,0,7
gene-SEC23A|SEC23A,106,126,77,109,94,104
gene-NKX2-1|NKX2-1,0,0,0,0,0,0
gene-MIPOL1|MIPOL1,18,12,16,9,80,45
gene-LOC136637663|LOC136637663,0,0,0,0,0,0
gene-MBIP|MBIP,358,41,63,245,1026,280
gene-BRMS1L|BRMS1L,215,67,48,189,1045,543
gene-LOC136637924|LOC136637924,0,0,0,0,0,0
gene-LOC136638160|LOC136638160,0,0,0,0,0,0
gene-LOC136638453|LOC136638453,0,0,0,0,0,0
gene-SLC25A21|SLC25A21,14,19,7,0,0,0
gene-PSMA6|PSMA6,256,161,0,186,770,525
gene-PRORP|PRORP,7,0,0,0,32,0
gene-RALGAPA1|RALGAPA1,696,230,121,250,934,1335
gene-LOC136637076|LOC136637076,0,0,0,0,0,0
gene-SPTSSA|SPTSSA,28,20,15,45,116,87
gene-BAZ1A|BAZ1A,280,135,55,654,4723,1855
gene-LOC136640097|LOC136640097,2,2,0,0,0,0
gene-CFL2|CFL2,395,169,135,585,2663,1044
gene-EAPP|EAPP,0,0,0,0,0,0
gene-LOC136659918|LOC136659918,31,17,11,17,73,38
gene-PPP2R3C|PPP2R3C,627,91,63,344,1022,1962
gene-LOC136639781|LOC136639781,573,509,291,469,1983,2042
gene-SNX6|SNX6,502,202,132,529,909,453
gene-DTD2|DTD2,2,0,0,1,0,4
gene-LOC136637601|LOC136637601,0,0,0,0,0,0
gene-LOC136638052|LOC136638052,0,0,0,0,0,0
gene-AKAP6|AKAP6,5,0,0,13,11,0
gene-LOC136638188|LOC136638188,0,0,0,0,0,0
gene-LOC136638311|LOC136638311,0,0,0,0,0,0
gene-LOC136638251|LOC136638251,0,0,0,0,0,0
gene-LOC136638318|LOC136638318,0,0,0,0,0,0
gene-NPAS3|NPAS3,8,0,0,26,328,24
gene-ARHGAP5|ARHGAP5,750,369,128,696,3810,2112
gene-EGLN3|EGLN3,0,72,0,0,0,0
gene-LOC136637389|LOC136637389,0,0,0,0,0,0
gene-NUBPL|NUBPL,37,0,0,45,154,43
gene-HEATR5A|HEATR5A,115,56,19,22,38,97
gene-HECTD1|HECTD1,3736,2082,993,2174,7288,2381
gene-LOC136637375|LOC136637375,0,0,0,0,0,0
gene-LOC136637567|LOC136637567,0,0,0,0,0,0
gene-G2E3|G2E3,0,0,0,0,0,1055
gene-COCH|COCH,0,0,0,0,144,0
gene-LOC136637046|LOC136637046,0,0,0,0,0,0
gene-STRN3|STRN3,1210,1044,473,556,3428,2280
gene-AP4S1|AP4S1,30,42,0,0,0,50
gene-SCFD1|SCFD1,872,938,310,781,1681,1504
gene-PRKD1|PRKD1,57,0,0,34,28,17
gene-LOC136636855|LOC136636855,0,0,0,0,53,0
gene-ACTC1|ACTC1,0,0,0,0,0,82
gene-LOC136638174|LOC136638174,0,0,0,0,0,0
gene-LOC136638237|LOC136638237,0,0,0,0,0,0
gene-STXBP6|STXBP6,8,13,37,68,85,7
gene-NOVA1|NOVA1,294,28,9,162,405,688
gene-AQR|AQR,556,166,113,391,1633,616
gene-LOC136637800|LOC136637800,0,0,0,0,0,0
gene-LOC136638068|LOC136638068,0,0,0,0,0,0
gene-LOC136637441|LOC136637441,0,0,0,0,0,0
gene-LOC136637276|LOC136637276,0,0,0,0,0,0
gene-LOC136637931|LOC136637931,0,0,0,0,0,0
gene-DPH6|DPH6,27,0,3,19,61,18
gene-CDIN1|CDIN1,102,138,47,88,417,157
gene-FAM98B|FAM98B,0,0,0,0,0,0
gene-ARHGAP11A|ARHGAP11A,8,0,0,0,0,0
gene-SCG5|SCG5,0,0,0,39,92,0
gene-LOC136637291|LOC136637291,0,0,0,0,0,0
gene-SPRED1|SPRED1,36,106,102,47,68,21
gene-RASGRP1|RASGRP1,28,25,21,9,0,14
gene-LOC136637906|LOC136637906,0,0,0,0,0,0
gene-LOC136637112|LOC136637112,0,0,0,0,0,0
gene-LOC136637121|LOC136637121,0,0,0,0,0,0
gene-FMN1|FMN1,10,12,0,45,87,78
gene-MEIS2|MEIS2,43,46,23,294,1299,487
gene-LOC136637973|LOC136637973,0,0,0,0,0,0
gene-LOC136638721|LOC136638721,0,0,0,0,0,0
gene-LOC136638178|LOC136638178,0,0,0,0,0,0
gene-LOC136637552|LOC136637552,0,0,0,0,0,0
gene-CHRM5|CHRM5,73,2,5,3,3,37
gene-AVEN|AVEN,27,0,0,16,37,140
gene-LOC136637258|LOC136637258,0,0,0,0,0,0
gene-LOC136637424|LOC136637424,0,0,0,0,0,0
gene-RYR3|RYR3,227,3,0,47,24,235
gene-GPR176|GPR176,8,0,0,12,15,0
gene-FSIP1|FSIP1,0,0,0,0,0,0
gene-EMC7|EMC7,581,279,205,400,667,630
gene-SRP14|SRP14,0,0,0,0,0,0
gene-EIF2AK4|EIF2AK4,289,32,73,232,1087,291
gene-THBS1|THBS1,18,49,9,0,21,15
gene-KATNBL1|KATNBL1,159,48,6,180,345,265
gene-BMF|BMF,0,0,0,0,0,0
gene-BUB1B|BUB1B,0,0,0,0,0,91
gene-PAK6|PAK6,211,0,0,366,5359,315
gene-LOC136638037|LOC136638037,0,0,0,0,0,0
gene-PLCB2|PLCB2,8,11,7,3,8,30
gene-DISP2|DISP2,14,0,0,0,7,21
gene-CCDC9B|CCDC9B,0,0,0,6,19,1
gene-LOC136637923|LOC136637923,0,0,0,0,0,0
gene-LOC136637898|LOC136637898,0,0,0,0,0,0
gene-LOC136638139|LOC136638139,0,0,0,0,0,0
gene-IVD|IVD,247,423,144,511,628,203
gene-CHST14|CHST14,7,6,2,4,5,13
gene-BAHD1|BAHD1,113,68,40,155,307,29
gene-RPUSD2|RPUSD2,0,9,0,0,10,15
gene-LOC136660269|LOC136660269,247,70,30,233,699,189
gene-TRNAS-GCU|TRNAS-GCU,0,0,0,0,0,0
gene-KNL1|KNL1,267,0,0,52,418,278
gene-RAD51|RAD51,302,19,10,930,2496,294
gene-GCHFR|GCHFR,0,13,12,0,0,0
gene-RMDN3|RMDN3,32,0,0,47,283,109
gene-ZFYVE19|ZFYVE19,0,0,0,0,0,0
gene-DNAJC17|DNAJC17,604,78,34,176,983,1144
gene-C1H15orf62|C1H15orf62,1,2,0,0,2,0
gene-VPS18|VPS18,127,40,37,329,1134,75
gene-DLL4|DLL4,18,23,25,27,149,35
gene-CHAC1|CHAC1,0,2,0,48,438,66
gene-EXD1|EXD1,197,0,0,18,285,131
gene-INO80|INO80,390,175,207,477,1743,311
gene-OIP5|OIP5,0,0,0,0,0,0
gene-NUSAP1|NUSAP1,0,0,0,0,0,0
gene-CHP1|CHP1,594,257,155,1648,2524,549
