gene_id,SRR11306933,SRR11306934,SRR22062179
gene-GOLGB1|GOLGB1,1194,1648,1605
gene-LOC135983037|LOC135983037,1,0,2
gene-LOC135983127|LOC135983127,577,904,858
gene-HCLS1|HCLS1,1308,1434,124
gene-LOC135983450|LOC135983450,4,0,0
gene-NME6|NME6,210,331,4693
gene-RABL2B|RABL2B,151,183,6717
gene-LOC135983446|LOC135983446,0,12,0
gene-ARSA|ARSA,1023,1243,391
gene-MAPK8IP2|MAPK8IP2,5,31,725
gene-CHKB|CHKB,341,1038,3236
gene-CPT1B|CPT1B,22,0,7492
gene-LOC135983414|LOC135983414,0,0,11
gene-LOC122173070|LOC122173070,0,0,0
gene-LOC135983052|LOC135983052,2,0,0
gene-LOC101932377|LOC101932377,11,13,10
gene-LOC135983421|LOC135983421,31,58,1087
gene-SHANK3|SHANK3,746,1033,4120
gene-LOC135982937|LOC135982937,0,0,0
gene-LOC135983358|LOC135983358,0,0,31
gene-LOC135972649|LOC135972649,0,0,16
gene-LOC101939714|LOC101939714,359,181,345
gene-LOC135983268|LOC135983268,63,25,0
gene-LOC135982945|LOC135982945,0,3,5
gene-LOC135983732|LOC135983732,0,4,0
gene-LOC103306556|LOC103306556,19,0,15
gene-GARIN1A|GARIN1A,194,8922,6459
gene-LOC135972661|LOC135972661,0,0,0
gene-LOC101942743|LOC101942743,0,0,4
gene-LOC101942472|LOC101942472,0,0,19600
gene-PRRT4|PRRT4,0,0,6
gene-LOC135983735|LOC135983735,0,0,12976
gene-LOC135983428|LOC135983428,14,28,4
gene-LOC135983191|LOC135983191,205,30,76
gene-LOC135972650|LOC135972650,40,43,117
gene-LOC135972652|LOC135972652,3,0,0
gene-LOC122173015|LOC122173015,224,301,60
gene-LOC101939530|LOC101939530,92,27,0
gene-LOC135972658|LOC135972658,69,50,54
gene-LOC103305706|LOC103305706,42,14,22
gene-LOC135982891|LOC135982891,29,4,23
gene-LOC135983208|LOC135983208,407,103,174
gene-LOC135982965|LOC135982965,43,18,9
gene-LOC101947198|LOC101947198,189,34,59
gene-LOC135983121|LOC135983121,106,25,50
gene-LOC101946291|LOC101946291,54,15,0
gene-LOC101946212|LOC101946212,37,7,20
gene-RBM28|RBM28,498,751,1627
gene-IMPDH1|IMPDH1,521,1105,816
gene-LOC103306558|LOC103306558,68,365,145
gene-FSCN3|FSCN3,0,0,31642
gene-ARF5|ARF5,824,847,4805
gene-GCC1|GCC1,491,648,1084
gene-LOC101944294|LOC101944294,575,746,65
gene-DENND6B|DENND6B,273,570,3219
gene-PPP6R2|PPP6R2,300,551,12188
gene-LOC101944561|LOC101944561,8,9,1
gene-LRRC4|LRRC4,0,3,8
gene-SND1|SND1,12863,23236,25020
gene-ADM2|ADM2,9,15,69
gene-MIOX|MIOX,69,44,38
gene-LOC122174744|LOC122174744,37,32,0
gene-SBF1|SBF1,2705,3147,9934
gene-LOC101945930|LOC101945930,354,336,502
gene-TYMP|TYMP,280,1105,60
gene-LOC135983746|LOC135983746,0,0,1
gene-LOC101940734|LOC101940734,0,0,2
gene-LOC135983745|LOC135983745,7,11,0
gene-LOC135983752|LOC135983752,10,10,0
gene-NCAPH2|NCAPH2,347,241,1615
gene-LMF2|LMF2,3521,4713,9457
gene-LOC135972682|LOC135972682,1,10,8
gene-LOC135972751|LOC135972751,0,0,4
gene-LOC135972752|LOC135972752,20,12,52
gene-CIMAP1B|CIMAP1B,3,0,19405
gene-LOC135972701|LOC135972701,0,5,11
gene-LOC122173413|LOC122173413,0,34,56
gene-LOC112061019|LOC112061019,38,197,168
gene-LOC101935812|LOC101935812,1996,1098,213
gene-LOC101935798|LOC101935798,359,151,28
gene-LOC112061020|LOC112061020,2554,921,57
gene-LOC101936071|LOC101936071,599,136,561
gene-LOC135972712|LOC135972712,554,331,74
gene-LOC135972714|LOC135972714,1049,381,401
gene-IRF5|IRF5,228,341,571
gene-LOC101949252|LOC101949252,72,61,9976
gene-LOC101940135|LOC101940135,7,1,25
gene-TNPO3|TNPO3,2066,3259,8017
gene-CCDC136|CCDC136,85,85,6865
gene-FLNC|FLNC,359,271,5109
gene-CALU|CALU,6210,9190,3665
gene-SPMIP1|SPMIP1,2,0,50525
gene-ATP6V1F|ATP6V1F,923,1278,1076
gene-KCP|KCP,869,74,281
gene-LOC103306549|LOC103306549,7,0,0
gene-LOC135972760|LOC135972760,102,57,46
gene-LOC112061248|LOC112061248,506,98,157
gene-TRNAP-AGG-4|TRNAP-AGG,0,0,0
gene-TRNAP-AGG-5|TRNAP-AGG,0,0,0
gene-TRNAP-AGG-6|TRNAP-AGG,0,0,0
gene-LOC135980945|LOC135980945,17,4,204
gene-LOC135972766|LOC135972766,13,7,28
gene-LOC135972763|LOC135972763,8,2,296
gene-LOC135972750|LOC135972750,2,10,57
gene-LOC135972769|LOC135972769,2,0,7
gene-SMO|SMO,386,157,931
gene-TSPAN33|TSPAN33,722,719,4247
gene-LOC135972765|LOC135972765,71,24,171
gene-AHCYL2|AHCYL2,700,993,15168
gene-SMKR1|SMKR1,26,49,13795
gene-STRIP2|STRIP2,455,1422,755
gene-NRF1|NRF1,786,992,701
gene-LOC122172372|LOC122172372,0,0,0
gene-ZC3HC1|ZC3HC1,511,638,834
gene-UBE2H|UBE2H,2268,6866,2646
gene-LOC101943326|LOC101943326,13,0,429
gene-KLHDC10|KLHDC10,561,641,977
gene-TMEM209|TMEM209,242,273,4778
gene-FBH1|FBH1,1232,1344,6169
gene-ANKRD16|ANKRD16,91,74,6872
gene-LOC101942769|LOC101942769,0,0,103
gene-LOC101942494|LOC101942494,0,0,1034
gene-LOC101950052|LOC101950052,0,0,83
gene-CEP41|CEP41,26,13,59937
gene-MEST|MEST,917,719,1035
gene-LOC101949783|LOC101949783,0,0,1
gene-TSGA13|TSGA13,0,0,129
gene-IL15RA|IL15RA,84,53,881
gene-LOC135972807|LOC135972807,64,24,58
gene-COPG2|COPG2,3463,5000,11355
gene-TASOR2|TASOR2,634,585,4885
gene-GDI2|GDI2,6374,8212,3404
gene-ASB13|ASB13,180,164,55
gene-LOC101946674|LOC101946674,8,0,536
gene-LOC101947498|LOC101947498,7,1,2042
gene-LOC101947492|LOC101947492,0,0,1455
gene-LOC101939240|LOC101939240,83,27,566
gene-SLC35B4|SLC35B4,76,276,307
gene-LOC101937181|LOC101937181,0,0,2695
gene-LRGUK|LRGUK,11,0,4906
gene-CALML3|CALML3,1,0,8
gene-NET1|NET1,2204,3826,3210
gene-LOC135972799|LOC135972799,75,92,28
gene-EXOC4|EXOC4,1584,972,5423
gene-CHCHD3|CHCHD3,2557,4804,878
gene-LOC135983956|LOC135983956,9,9,0
gene-LOC101934506|LOC101934506,46,107,5
gene-LOC135983927|LOC135983927,25,7,16
gene-IL2RA|IL2RA,77,46,12
gene-PLXNA4|PLXNA4,51,350,9888
gene-LOC101936339|LOC101936339,0,0,0
gene-MKLN1|MKLN1,2084,4612,1340
gene-LOC135972840|LOC135972840,0,0,0
gene-PODXL|PODXL,324,87,174
gene-RBM17|RBM17,1111,1507,2805
gene-LOC112059742|LOC112059742,2,0,3
gene-PRKCQ|PRKCQ,444,186,10
gene-LOC135972843|LOC135972843,0,0,0
gene-PFKFB3|PFKFB3,1673,1673,48162
gene-LOC135983938|LOC135983938,47,0,0
gene-LOC135983950|LOC135983950,28,27,15
gene-LOC101954000|LOC101954000,4,0,39
gene-SFMBT2|SFMBT2,56,70,8639
gene-LOC135972845|LOC135972845,0,0,1
gene-ITIH5|ITIH5,170,128,2933
gene-LOC135972846|LOC135972846,1,0,1
gene-KIN|KIN,346,619,209
gene-LOC112059743|LOC112059743,0,0,0
gene-ATP5F1C|ATP5F1C,4036,7223,6678
gene-LOC135972855|LOC135972855,2,2,2
gene-LOC135983967|LOC135983967,0,0,0
gene-TAF3|TAF3,1479,2141,1778
gene-GATA3|GATA3,328,150,4
gene-ITIH2|ITIH2,48923,114139,7643
gene-CELF2|CELF2,126,71,56
gene-USP6NL|USP6NL,636,789,357
gene-LOC135972839|LOC135972839,0,0,0
gene-LOC122174604|LOC122174604,0,0,98
gene-ECHDC3|ECHDC3,936,933,90
gene-PROSER2|PROSER2,358,1204,8
gene-SEC61A2|SEC61A2,227,182,3644
gene-UPF2|UPF2,1704,1890,3757
gene-DHTKD1|DHTKD1,4045,9514,3210
gene-NUDT5|NUDT5,770,1113,737
gene-LOC135972826|LOC135972826,11,4,0
gene-CDC123|CDC123,496,666,1470
gene-MCM10|MCM10,39,20,2046
gene-CAMK1D|CAMK1D,345,222,95
gene-LOC135972863|LOC135972863,0,0,0
gene-UCMA|UCMA,41,183,0
gene-LOC135972888|LOC135972888,0,0,0
gene-OPTN|OPTN,2179,2225,4148
gene-LOC135972872|LOC135972872,0,0,0
gene-PHYH|PHYH,2241,4295,270
gene-PRPF18|PRPF18,649,1025,460
gene-BEND7|BEND7,755,987,1083
gene-LOC135972874|LOC135972874,11,0,0
gene-SEPHS1|SEPHS1,552,540,550
gene-LOC135973029|LOC135973029,0,0,0
gene-CDNF|CDNF,41,21,10
gene-FAM107B|FAM107B,1086,666,139
gene-HSPA14|HSPA14,198,528,1850
gene-SUV39H2|SUV39H2,101,72,155
gene-FRMD4A|FRMD4A,352,349,1920
gene-LOC101941169|LOC101941169,0,0,0
gene-MEIG1|MEIG1,47,24,5081
gene-DCLRE1C|DCLRE1C,477,366,265
gene-DMTF1|DMTF1,390,446,459
gene-TMEM243|TMEM243,85,98,199
gene-LOC135972906|LOC135972906,0,5,4
gene-ELAPOR2|ELAPOR2,3,0,2492
gene-LOC135972907|LOC135972907,2,0,50
gene-LOC135972908|LOC135972908,4,0,0
gene-LOC122174599|LOC122174599,12,0,22
gene-SEMA3D|SEMA3D,335,138,457
gene-SEMA3A|SEMA3A,113,13,410
gene-LOC135972916|LOC135972916,0,0,0
gene-LOC135972924|LOC135972924,0,0,12
gene-LOC135980999|LOC135980999,13,2,60
gene-SEMA3E|SEMA3E,0,0,53
gene-LOC135972957|LOC135972957,8,0,7
gene-HGF|HGF,461,868,176
gene-SEMA3C|SEMA3C,302,102,847
gene-CACNA2D1|CACNA2D1,95,125,320
gene-LOC135972960|LOC135972960,1,4,6
gene-LOC135972967|LOC135972967,0,0,0
gene-LOC135972965|LOC135972965,2,3,2
gene-LOC122174601|LOC122174601,0,0,0
gene-GNAI1|GNAI1,378,259,535
gene-LOC135972963|LOC135972963,1,0,3
gene-CD36|CD36,3975,2202,21
gene-PHTF2|PHTF2,117,129,5598
gene-LOC135973400|LOC135973400,0,0,0
gene-TMEM60|TMEM60,584,808,1783
gene-RSBN1L|RSBN1L,851,735,394
gene-LOC135973393|LOC135973393,0,0,0
gene-MAGI2|MAGI2,102,22,611
gene-LOC135973207|LOC135973207,0,0,14
gene-LOC135972969|LOC135972969,0,0,0
gene-LOC135973200|LOC135973200,5,19,4
gene-PTPN12|PTPN12,510,973,512
gene-FAM185A|FAM185A,307,580,331
gene-FBXL13|FBXL13,9,0,4761
gene-LRRC17|LRRC17,19,0,117
gene-ARMC10|ARMC10,507,433,761
gene-GSAP|GSAP,298,251,141
gene-CCDC146|CCDC146,55,49,3903
gene-LOC135972975|LOC135972975,5,3,1
gene-FGL2|FGL2,5249,4370,86
gene-NAPEPLD|NAPEPLD,493,585,1611
gene-PMPCB|PMPCB,963,2154,6985
gene-DNAJC2|DNAJC2,173,307,1609
gene-PSMC2|PSMC2,1241,2804,3448
gene-SLC26A5|SLC26A5,4935,3199,94
gene-ORC5|ORC5,150,119,3214
gene-LOC135973877|LOC135973877,0,0,0
gene-LOC135973840|LOC135973840,9,27,56
gene-LOC135973899|LOC135973899,12,0,0
gene-LOC135974086|LOC135974086,22,17,145
gene-RELN|RELN,2356,1242,1291
gene-LOC135973741|LOC135973741,0,0,0
gene-LOC101940861|LOC101940861,0,0,0
gene-KMT2E|KMT2E,1927,2030,2496
gene-SRPK2|SRPK2,124,161,815
gene-PUS7|PUS7,470,547,163
gene-RINT1|RINT1,629,737,4152
gene-EFCAB10|EFCAB10,16,8,1210
gene-SYPL1|SYPL1,31,11,5334
gene-CDHR3|CDHR3,84,0,20
gene-ATXN7L1|ATXN7L1,315,219,1313
gene-LOC135972999|LOC135972999,3,0,2
gene-CCDC71L|CCDC71L,203,139,633
gene-NAMPT|NAMPT,1407,1809,917
gene-PIK3CG|PIK3CG,1148,1186,155
gene-PRKAR2B|PRKAR2B,20,9,143
gene-LOC135974498|LOC135974498,0,0,30
gene-SLC26A4|SLC26A4,10,22,11
gene-BCAP29|BCAP29,1029,1184,728
gene-SLC26A3|SLC26A3,4,3,12
gene-LOC122173584|LOC122173584,5,0,0
gene-CBLL1|CBLL1,327,362,801
gene-HBP1|HBP1,1665,1729,1088
gene-GPR22|GPR22,0,0,0
gene-DUS4L|DUS4L,120,138,91
gene-COG5|COG5,958,1950,500
gene-ERGIC2|ERGIC2,125,546,220
gene-LOC135974685|LOC135974685,0,0,2
gene-LOC135981012|LOC135981012,0,0,0
gene-DLD|DLD,1607,2366,1096
gene-LAMB1|LAMB1,1531,811,2478
gene-LRRK2|LRRK2,283,142,307
gene-REDIC1|REDIC1,0,0,57
gene-ABCD2|ABCD2,49,54,15
gene-SLC2A13|SLC2A13,135,77,135
gene-LOC122173542|LOC122173542,0,13,0
gene-KIF21A|KIF21A,432,685,69
gene-LOC135973039|LOC135973039,0,2,3
gene-LOC101943539|LOC101943539,869,928,965
gene-GTSE1|GTSE1,80,78,5707
gene-LOC135973100|LOC135973100,12,9,374
gene-TPRKB|TPRKB,705,769,599
gene-ALG10|ALG10,210,185,79
gene-CPNE8|CPNE8,808,1039,970
gene-LOC135973063|LOC135973063,0,0,0
gene-TRMU|TRMU,239,186,39
gene-LOC101931174|LOC101931174,9,15,0
gene-CELSR1|CELSR1,308,191,72
gene-LOC135983770|LOC135983770,3,5,9
gene-LOC135973112|LOC135973112,1,2,9
gene-LOC135973114|LOC135973114,0,0,0
gene-GRAMD4|GRAMD4,1464,5563,106
gene-LOC135973108|LOC135973108,0,0,0
gene-CERK|CERK,970,1322,387
gene-TBC1D22A|TBC1D22A,485,554,310
gene-LOC112061286|LOC112061286,0,2,4
gene-TAFA5|TAFA5,5,0,15
gene-LOC101944515|LOC101944515,0,4,327
gene-BRD1|BRD1,862,626,701
gene-ZBED4|ZBED4,465,473,67
gene-LOC135973183|LOC135973183,1,0,0
gene-LOC135973177|LOC135973177,12,57,0
gene-LOC112060308|LOC112060308,3,7,0
gene-ALG12|ALG12,423,335,92
gene-LOC112060321|LOC112060321,0,0,0
gene-CRELD2|CRELD2,308,430,3549
gene-PIM3|PIM3,1295,7023,5899
gene-TTLL8|TTLL8,81,116,4284
gene-LOC122172575|LOC122172575,4,6,2
gene-LOC112060343|LOC112060343,2,0,0
gene-IL17REL|IL17REL,1871,4137,1628
gene-TRABD|TRABD,100,107,25
gene-LOC135973184|LOC135973184,0,0,0
gene-LOC101947356|LOC101947356,0,6,9
gene-LOC135973187|LOC135973187,31,0,14
gene-SELENOO|SELENOO,1272,1389,3589
gene-TUBGCP6|TUBGCP6,677,858,918
gene-MAPK12|MAPK12,290,353,424
gene-HDAC10|HDAC10,1570,1362,32
gene-LOC122172569|LOC122172569,67,10,0
gene-MAPK11|MAPK11,480,516,67
gene-LOC122172560|LOC122172560,11,19,0
gene-ZNF800|ZNF800,199,283,269
gene-PLXNB2|PLXNB2,4118,6413,261
gene-LOC135973224|LOC135973224,7,5,5
gene-GPR37|GPR37,10,7,3521
gene-LOC135981001|LOC135981001,1,0,2
gene-LOC101942498|LOC101942498,14,0,0
gene-POT1|POT1,471,361,484
gene-LOC101932020|LOC101932020,22,16,101
gene-LOC135973227|LOC135973227,1,0,0
gene-LOC135973236|LOC135973236,0,0,0
gene-LOC101941138|LOC101941138,283,285,664
gene-WASL|WASL,454,769,934
gene-LOC135973262|LOC135973262,20,8,177
gene-IQUB|IQUB,0,5,2916
gene-LMOD2|LMOD2,0,0,4
gene-ASB15|ASB15,17,0,33
gene-LOC112060170|LOC112060170,0,0,0
gene-NDUFA5|NDUFA5,1073,1819,474
gene-LOC135981002|LOC135981002,1,0,0
gene-LOC101936037|LOC101936037,705,356,135
gene-LOC135973264|LOC135973264,0,0,0
gene-AASS|AASS,967,6183,231
gene-CADPS2|CADPS2,184,153,464
gene-RNF148|RNF148,0,0,8232
gene-LOC135973269|LOC135973269,0,0,0
gene-WNT16|WNT16,0,0,198
gene-PTPRZ1|PTPRZ1,3,3,423
gene-FAM3C|FAM3C,682,644,541
