gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-CWF19L1|CWF19L1,0,0,0,0,0,0
gene-ERLIN1|ERLIN1,0,0,0,0,0,0
gene-TUBGCP2|TUBGCP2,0,0,0,0,0,0
gene-TMX1|TMX1,0,0,0,0,0,0
gene-NEMF|NEMF,0,0,0,0,0,0
gene-KLHDC2|KLHDC2,0,0,0,0,0,0
gene-LRFN5|LRFN5,6,0,0,0,28,5
gene-MGAT2|MGAT2,2,2,4,0,0,0
gene-DNAAF2|DNAAF2,0,0,0,0,0,0
gene-KLHDC1|KLHDC1,8,0,0,0,39,21
gene-POLE2|POLE2,8,0,0,0,0,0
gene-LOC128339794|LOC128339794,0,0,0,0,0,0
gene-RPS29|RPS29,580,435,324,172,99,95
gene-LOC128340393|LOC128340393,318,223,197,74,74,84
gene-LOC128342670|LOC128342670,328,232,204,76,74,84
gene-FKBP3|FKBP3,0,0,0,0,0,0
gene-LOC128350176|LOC128350176,0,0,0,0,0,0
gene-LOC128341393|LOC128341393,0,0,0,0,0,0
gene-PRPF39|PRPF39,51,28,19,6,61,110
gene-SAV1|SAV1,0,0,0,0,0,0
gene-KLHL28|KLHL28,4,0,0,7,110,8
gene-ATL1|ATL1,0,0,0,19,88,21
gene-TOGARAM1|TOGARAM1,11,0,0,0,0,70
gene-FANCM|FANCM,0,0,0,0,0,0
gene-LOC128332910|LOC128332910,0,0,0,0,0,0
gene-ARF6|ARF6,26,17,11,44,153,30
gene-MDGA2|MDGA2,0,10,8,0,5,15
gene-LOC128339671|LOC128339671,0,0,0,0,0,0
gene-MAP4K5|MAP4K5,0,3,0,0,44,0
gene-SOS2|SOS2,32,0,0,31,200,51
gene-PYGL|PYGL,16,94,58,49,444,0
gene-FERMT2|FERMT2,15,0,0,0,161,83
gene-LOC128341171|LOC128341171,0,0,0,0,0,0
gene-TRIM9|TRIM9,0,0,0,0,0,0
gene-GNPNAT1|GNPNAT1,0,0,0,0,0,0
gene-NIN|NIN,0,0,0,0,0,0
gene-LOC128321965|LOC128321965,0,0,0,0,0,0
gene-LOC128321962|LOC128321962,0,0,0,0,0,0
gene-DDHD1|DDHD1,0,0,0,3,9,0
gene-PSMC6|PSMC6,0,0,0,0,580,0
gene-STYX|STYX,1071,30,0,174,1351,3794
gene-NID2|NID2,0,0,0,0,0,0
gene-RTRAF|RTRAF,0,0,0,0,0,0
gene-GNG2|GNG2,0,0,0,101,498,0
gene-BMP4|BMP4,0,0,0,2,0,0
gene-FRMD6|FRMD6,0,0,0,0,0,0
gene-LOC128340502|LOC128340502,0,0,0,0,0,0
gene-LOC128340501|LOC128340501,0,0,0,0,0,0
gene-CGRRF1|CGRRF1,0,0,0,0,0,0
gene-GMFB|GMFB,0,0,0,0,0,0
gene-SAMD4A|SAMD4A,10,16,11,12,29,12
gene-CNIH1|CNIH1,0,0,0,188,0,221
gene-FBXO34|FBXO34,0,0,0,5,26,25
gene-ATG14|ATG14,0,0,0,0,0,0
gene-MAPK1IP1L|MAPK1IP1L,0,0,0,0,5,0
gene-LOC128339245|LOC128339245,0,0,0,0,0,0
gene-SOCS4|SOCS4,34,10,0,6,35,91
gene-WDHD1|WDHD1,0,0,0,0,0,0
gene-ACTR10|ACTR10,0,0,0,0,0,0
gene-AP5M1|AP5M1,0,0,0,0,0,0
gene-NAA30|NAA30,77,23,9,78,333,267
gene-SLC35F4|SLC35F4,0,0,0,0,0,0
gene-OTX2|OTX2,0,0,0,416,1864,0
gene-TMEM260|TMEM260,0,0,0,0,0,0
gene-PSMA3|PSMA3,0,0,0,0,0,0
gene-ARID4A|ARID4A,99,53,27,26,175,115
gene-PELI2|PELI2,66,8,8,0,269,199
gene-EXOC5|EXOC5,0,46,0,199,0,0
gene-LOC128330803|LOC128330803,0,0,0,0,0,0
gene-MRPL17|MRPL17,4,2,0,0,0,0
gene-RAB12|RAB12,74,25,25,19,22,55
gene-KTN1|KTN1,309,59,0,157,241,383
gene-LOC128327346|LOC128327346,0,0,0,0,0,0
gene-LRRC9|LRRC9,0,0,0,0,0,0
gene-PRKCH|PRKCH,0,0,0,0,33,0
gene-RTN1|RTN1,68,1,0,27,77,28
gene-LOC128336787|LOC128336787,0,0,0,0,0,0
gene-SIX6|SIX6,0,0,0,0,0,0
gene-PPM1A|PPM1A,200,229,163,707,7612,663
gene-LOC128330411|LOC128330411,0,0,0,0,0,0
gene-TRMT5|TRMT5,0,0,0,0,0,0
gene-SLC38A6|SLC38A6,0,0,0,0,0,0
gene-DAAM1|DAAM1,42,19,0,20,108,70
gene-HIF1A|HIF1A,46,32,0,10,15,69
gene-MNAT1|MNAT1,0,0,0,0,0,0
gene-LOC128340546|LOC128340546,13,12,7,4,86,47
gene-ZBTB25|ZBTB25,0,0,0,15,54,0
gene-ZBTB1|ZBTB1,1,0,0,4,29,0
gene-MTHFD1|MTHFD1,0,26,0,0,0,0
gene-TRNAT-UGU|TRNAT-UGU,0,0,0,0,0,0
gene-PPP2R5E|PPP2R5E,970,187,122,1163,4700,3165
gene-HSPA2|HSPA2,552,6,2,46,93,1316
gene-SYNE2|SYNE2,0,0,0,0,0,0
gene-LOC128341210|LOC128341210,0,1,0,0,0,0
gene-CDCA4|CDCA4,6,0,0,0,15,59
gene-LOC128340296|LOC128340296,2,0,0,0,24,15
gene-NUDT14|NUDT14,0,7,0,0,0,0
gene-LOC128339912|LOC128339912,0,0,0,0,0,0
gene-JAG2|JAG2,0,0,0,0,125,9
gene-ZBTB42|ZBTB42,6,3,6,7,13,2
gene-LOC128339944|LOC128339944,0,0,0,0,0,0
gene-AKT1|AKT1,70,0,25,148,599,94
gene-C1H14orf180|C1H14orf180,0,0,0,0,0,0
gene-LOC128341041|LOC128341041,19,9,8,6,64,56
gene-CEP170B|CEP170B,0,0,0,0,0,0
gene-BRF1|BRF1,43,0,0,21,180,1067
gene-BTBD6|BTBD6,21,11,18,6,13,16
gene-LOC128326186|LOC128326186,0,0,0,0,0,0
gene-TDRD9|TDRD9,0,0,0,0,0,0
gene-ZFYVE21|ZFYVE21,16,34,27,22,216,33
gene-KIF26A|KIF26A,3,5,4,30,166,7
gene-LOC128339249|LOC128339249,0,0,0,0,0,0
gene-PPP1R13B|PPP1R13B,101,19,0,226,2367,266
gene-AHNAK2|AHNAK2,1,0,0,0,0,0
gene-XRCC3|XRCC3,0,0,0,0,0,0
gene-KLC1|KLC1,142,51,23,89,406,188
gene-LOC128339124|LOC128339124,0,0,0,0,0,0
gene-BAG5|BAG5,2,0,0,0,149,553
gene-TRMT61A|TRMT61A,0,0,0,34,97,0
gene-MARK3|MARK3,399,193,91,381,6511,1594
gene-LOC128341379|LOC128341379,0,0,0,0,0,0
gene-EIF5|EIF5,2595,2342,1440,2213,3385,2103
gene-CDC42BPB|CDC42BPB,193,165,107,104,653,258
gene-LOC128328169|LOC128328169,0,0,0,0,0,0
gene-TRAF3|TRAF3,11,6,7,23,113,13
gene-TECPR2|TECPR2,0,0,0,15,0,0
gene-LOC128346791|LOC128346791,0,0,0,0,0,0
gene-CINP|CINP,0,0,0,0,0,0
gene-RCOR1|RCOR1,0,0,0,0,0,0
gene-MOK|MOK,170,0,0,24,259,1113
gene-LOC128340900|LOC128340900,0,0,0,0,0,0
gene-WDR20|WDR20,487,87,44,370,1474,466
gene-LOC128347178|LOC128347178,0,0,0,0,0,0
gene-LOC128331955|LOC128331955,797,76,0,318,3801,5296
gene-DYNC1H1|DYNC1H1,799,201,111,221,858,1077
gene-LOC128330096|LOC128330096,0,0,0,0,0,0
gene-SLC25A29|SLC25A29,37,347,85,17,88,0
gene-PPP2R5C|PPP2R5C,445,116,89,443,1771,676
gene-WDR25|WDR25,0,0,0,0,0,0
gene-WARS1|WARS1,0,0,0,0,0,0
gene-YY1|YY1,728,307,236,683,1265,578
gene-EVL|EVL,9,5,1,16,537,143
gene-TRNAS-UGA|TRNAS-UGA,0,0,0,0,0,0
gene-HHIPL1|HHIPL1,0,8,0,24,63,8
gene-LOC128339286|LOC128339286,0,0,0,0,0,0
gene-EML1|EML1,326,10,8,270,1011,442
gene-LOC128326286|LOC128326286,0,0,0,0,0,0
gene-LOC128326272|LOC128326272,0,0,0,0,0,0
gene-LOC128326283|LOC128326283,0,0,0,0,0,0
gene-CCDC85C|CCDC85C,53,48,57,59,158,141
gene-LOC128339297|LOC128339297,0,0,0,0,0,0
gene-CCNK|CCNK,369,51,35,75,465,2845
gene-SETD3|SETD3,1185,294,154,306,856,1184
gene-BCL11B|BCL11B,245,37,33,4,64,217
gene-AK7|AK7,0,0,0,0,0,0
gene-GLRX5|GLRX5,0,0,0,0,0,0
gene-ATG2B|ATG2B,0,0,0,48,147,124
gene-PAPOLA|PAPOLA,2403,649,300,411,1824,4237
