gene_id,SRR21159093,SRR21159098
gene-GOLGB1|GOLGB1,1799,3577
gene-HCLS1|HCLS1,620,72
gene-RABL2B|RABL2B,57,575
gene-LOC123376418|LOC123376418,0,0
gene-NME6|NME6,119,471
gene-LOC123376398|LOC123376398,0,24
gene-ARSA|ARSA,3792,1526
gene-MAPK8IP2|MAPK8IP2,18,5
gene-CHKB|CHKB,232,1500
gene-CPT1B|CPT1B,170,30
gene-LOC123375781|LOC123375781,0,0
gene-LOC123375821|LOC123375821,41,4
gene-SHANK3|SHANK3,536,761
gene-LOC123375859|LOC123375859,0,0
gene-RBM28|RBM28,240,1476
gene-LOC123375831|LOC123375831,0,0
gene-LOC123375766|LOC123375766,0,4
gene-LOC123375852|LOC123375852,0,0
gene-LOC123375811|LOC123375811,0,0
gene-LOC123375845|LOC123375845,0,0
gene-LOC123375804|LOC123375804,30,0
gene-LOC123375799|LOC123375799,8,0
gene-LOC123378685|LOC123378685,115,287
gene-LOC123375876|LOC123375876,0,185
gene-IMPDH1|IMPDH1,721,1166
gene-FSCN3|FSCN3,0,0
gene-ARF5|ARF5,318,3729
gene-GCC1|GCC1,314,1186
gene-LOC123375920|LOC123375920,694,66
gene-LRRC4|LRRC4,0,3
gene-SND1|SND1,8409,3087
gene-DENND6B|DENND6B,1804,4189
gene-PPP6R2|PPP6R2,583,1112
gene-LOC123351424|LOC123351424,0,0
gene-LOC123351421|LOC123351421,0,0
gene-SBF1|SBF1,2737,9877
gene-LOC123344223|LOC123344223,29,304
gene-LOC123346948|LOC123346948,1,0
gene-LOC123355971|LOC123355971,6,0
gene-LOC123363488|LOC123363488,587,0
gene-NCAPH2|NCAPH2,794,2108
gene-LMF2|LMF2,3969,11331
gene-LOC123369152|LOC123369152,59,0
gene-ODF3B|ODF3B,0,224
gene-LOC123362242|LOC123362242,8,0
gene-LOC123356030|LOC123356030,0,0
gene-LOC123343544|LOC123343544,0,63
gene-LOC123355259|LOC123355259,0,0
gene-LOC123352223|LOC123352223,0,0
gene-LOC123352241|LOC123352241,0,0
gene-LOC123349328|LOC123349328,54,3
gene-LOC123365162|LOC123365162,773,308
gene-LOC123354614|LOC123354614,47,32
gene-LOC123354604|LOC123354604,754,201
gene-LOC123343548|LOC123343548,161,9
gene-LOC123343557|LOC123343557,53,0
gene-IRF5|IRF5,121,496
gene-LOC123361885|LOC123361885,73,148
gene-TNPO3|TNPO3,750,5161
gene-CCDC136|CCDC136,17,62
gene-ATP6V1F|ATP6V1F,272,321
gene-LOC123343739|LOC123343739,0,52
gene-FLNC|FLNC,91,2370
gene-LOC123376330|LOC123376330,67,2
gene-SMO|SMO,114,1446
gene-CALU|CALU,4690,2817
gene-TSPAN33|TSPAN33,179,755
gene-AHCYL2|AHCYL2,661,1695
gene-LOC123376347|LOC123376347,7,2
gene-LOC123376291|LOC123376291,2,0
gene-LOC123376321|LOC123376321,82,55
gene-ZC3HC1|ZC3HC1,368,2183
gene-NRF1|NRF1,1049,4682
gene-SMKR1|SMKR1,235,361
gene-LOC123343921|LOC123343921,13,0
gene-STRIP2|STRIP2,136,6474
gene-UBE2H|UBE2H,2505,3655
gene-LOC123363735|LOC123363735,0,23160
gene-KLHDC10|KLHDC10,559,14827
gene-CEP41|CEP41,7,1312
gene-LOC123376603|LOC123376603,0,71
gene-TMEM209|TMEM209,169,6370
gene-IL15RA|IL15RA,101,0
gene-MEST|MEST,796,618
gene-COPG2|COPG2,1845,9203
gene-FBH1|FBH1,606,4785
gene-ANKRD16|ANKRD16,92,141
gene-GDI2|GDI2,6193,37357
gene-TASOR2|TASOR2,1191,506
gene-ASB13|ASB13,239,34
gene-LOC123376522|LOC123376522,0,8068
gene-LOC123377122|LOC123377122,29,20138
gene-LOC123344279|LOC123344279,0,18
gene-NET1|NET1,1877,8763
gene-SLC35B4|SLC35B4,158,2909
gene-LRGUK|LRGUK,21,182
gene-LOC123353129|LOC123353129,77,38
gene-EXOC4|EXOC4,602,3226
gene-CHCHD3|CHCHD3,2047,3074
gene-TRNAR-CCU|TRNAR-CCU,0,0
gene-PODXL|PODXL,132,660
gene-MKLN1|MKLN1,612,2316
gene-LOC123354669|LOC123354669,160,0
gene-IL2RA|IL2RA,19,0
gene-LOC123351974|LOC123351974,5,0
gene-PLXNA4|PLXNA4,1143,216
gene-LOC123376590|LOC123376590,0,22
gene-LOC123362307|LOC123362307,0,0
gene-RBM17|RBM17,1424,3369
gene-PFKFB3|PFKFB3,300,4467
gene-PRKCQ|PRKCQ,106,0
gene-LOC123376720|LOC123376720,53,1664
gene-SFMBT2|SFMBT2,204,171
gene-KIN|KIN,260,1962
gene-ATP5F1C|ATP5F1C,2771,3026
gene-TAF3|TAF3,1257,2439
gene-GATA3|GATA3,225,59
gene-CELF2|CELF2,305,227
gene-LOC123376805|LOC123376805,0,0
gene-LOC123343798|LOC123343798,0,0
gene-USP6NL|USP6NL,565,156
gene-ITIH5|ITIH5,1004,227
gene-ITIH2|ITIH2,61482,20
gene-ECHDC3|ECHDC3,728,29
gene-PROSER2|PROSER2,634,10953
gene-NUDT5|NUDT5,900,970
gene-CDC123|CDC123,838,1774
gene-SEC61A2|SEC61A2,153,1449
gene-UPF2|UPF2,4059,13002
gene-DHTKD1|DHTKD1,4473,6259
gene-CAMK1D|CAMK1D,925,2055
gene-MCM10|MCM10,65,3706
gene-OPTN|OPTN,2588,6161
gene-SEPHS1|SEPHS1,332,645
gene-PHYH|PHYH,4363,6447
