gene_id,SRR11524053,SRR11524076
gene-CCDC172|CCDC172,28,0
gene-CUNH10orf82|CUNH10orf82,0,0
gene-LOC120296601|LOC120296601,27,0
gene-LOC120311999|LOC120311999,138,3
gene-HSPA12A|HSPA12A,665,31
gene-VAX1|VAX1,11,13
gene-KCNK18|KCNK18,0,0
gene-LOC120312247|LOC120312247,6,9
gene-ENO4|ENO4,394,287
gene-SHTN1|SHTN1,217,185
gene-SLC18A2|SLC18A2,292,24
gene-PDZD8|PDZD8,670,280
gene-EMX2|EMX2,206,10
gene-LOC120308159|LOC120308159,106,29
gene-RAB11FIP2|RAB11FIP2,1072,123
gene-FAM204A|FAM204A,1037,123
gene-LOC120312356|LOC120312356,10,6
gene-CACUL1|CACUL1,875,185
gene-LOC120312734|LOC120312734,12,0
gene-NANOS1|NANOS1,519,9
gene-DENND10|DENND10,328,54
gene-LOC120312859|LOC120312859,0,0
gene-EIF3A|EIF3A,3979,1439
gene-SFXN4|SFXN4,307,42
gene-RGS10|RGS10,16,6
gene-GRK5|GRK5,136,17
gene-PRDX3|PRDX3,1584,494
gene-BAG3|BAG3,391,211
gene-TIAL1|TIAL1,1314,285
gene-PLPP4|PLPP4,64,15
gene-LOC120298798|LOC120298798,931,562
gene-INPP5F|INPP5F,974,278
gene-LOC120301443|LOC120301443,72,19
gene-LOC120300483|LOC120300483,877,127
gene-LOC120303358|LOC120303358,0,0
gene-LOC120303973|LOC120303973,5,0
gene-LOC120304018|LOC120304018,7,4
gene-WDR11|WDR11,2493,521
gene-FGFR2|FGFR2,3016,439
gene-ATE1|ATE1,660,215
gene-NSMCE4A|NSMCE4A,543,162
gene-BTBD16|BTBD16,11,0
gene-TACC2|TACC2,394,1018
gene-PLEKHA1|PLEKHA1,1062,544
gene-LOC120305907|LOC120305907,9,47
gene-LOC120305821|LOC120305821,7,903
gene-HTRA1|HTRA1,923,193
gene-CUNH10orf88|CUNH10orf88,213,20
gene-LOC120305964|LOC120305964,35,11
gene-LOC120311716|LOC120311716,917,757237
gene-GPR26|GPR26,7,0
gene-CPXM2|CPXM2,314,55
gene-ACADSB|ACADSB,573,194
gene-LOC120306119|LOC120306119,539,289
gene-BUB3|BUB3,648,156
gene-LOC120312500|LOC120312500,0,0
gene-CHST15|CHST15,1019,29
gene-PSTK|PSTK,289,92
gene-IKZF5|IKZF5,359,184
gene-NKX1-2|NKX1-2,0,13
gene-OAT|OAT,5476,5387
gene-LOC120312910|LOC120312910,0,0
gene-LOC120306755|LOC120306755,275,104
gene-FAM53B|FAM53B,1357,2189
gene-LOC120311756|LOC120311756,1,15
gene-EEF1AKMT2|EEF1AKMT2,345,48
gene-ABRAXAS2|ABRAXAS2,475,221
gene-LOC120307553|LOC120307553,63,29
gene-ZRANB1|ZRANB1,828,306
gene-CTBP2|CTBP2,1248,29
gene-LOC120308208|LOC120308208,0,0
gene-TEX36|TEX36,25,7
gene-EDRF1|EDRF1,560,153
gene-UROS|UROS,285,128
gene-LOC120307759|LOC120307759,823,522
gene-LOC120308538|LOC120308538,0,0
gene-CUNH10orf90|CUNH10orf90,25,8
gene-LOC120308575|LOC120308575,5,0
gene-CLRN3|CLRN3,11,0
gene-FOXI2|FOXI2,5,35
gene-ADAM12|ADAM12,171,103
gene-FANK1|FANK1,78,255
gene-PTPRE|PTPRE,319,47
gene-MKI67|MKI67,2058,44
gene-LOC120309443|LOC120309443,9,0
gene-LOC120308877|LOC120308877,19,8
gene-DOCK1|DOCK1,1627,757
gene-INSYN2A|INSYN2A,305,161
gene-LOC120312695|LOC120312695,0,0
gene-LOC120309472|LOC120309472,5,8
gene-LOC120309805|LOC120309805,30,1
gene-LKAAEAR1|LKAAEAR1,9,3
gene-RGS19|RGS19,186,14
gene-NPBWR2|NPBWR2,21,2
gene-OPRL1|OPRL1,5,4
gene-MYT1|MYT1,44,21
gene-PCMTD2|PCMTD2,1620,338
gene-LOC120312831|LOC120312831,0,0
gene-LOC120313020|LOC120313020,0,2
gene-LOC120312794|LOC120312794,0,0
gene-LOC120310609|LOC120310609,29,22
gene-LOC120312982|LOC120312982,2,0
gene-SRMS|SRMS,10,49
gene-PTK6|PTK6,43,32
gene-PPDPF|PPDPF,3452,1501
gene-EEF1A2|EEF1A2,1490,195
gene-KCNQ2|KCNQ2,18,36
gene-B4GALNT3|B4GALNT3,57,31
gene-NINJ2|NINJ2,22,0
gene-CACNA2D4|CACNA2D4,73,13
gene-LRTM2|LRTM2,69,41
gene-ADIPOR2|ADIPOR2,874,437
gene-WNK1|WNK1,4332,821
gene-RAD52|RAD52,128,18
gene-ERC1|ERC1,1482,337
gene-WNT5B|WNT5B,116,50
gene-LOC120314803|LOC120314803,31,13
gene-FBXL14|FBXL14,466,147
gene-TMEM121B|TMEM121B,27,15
gene-HDHD5|HDHD5,171,80
gene-IL17RA|IL17RA,1238,360
gene-ADA2|ADA2,105,12
gene-DCP1B|DCP1B,455,152
gene-CACNA1C|CACNA1C,680,101
gene-LOC120316650|LOC120316650,47,5
gene-SLC25A18|SLC25A18,491,96
gene-LOC120316783|LOC120316783,495,37
gene-ATP6V1E1|ATP6V1E1,712,159
gene-LOC120319063|LOC120319063,15,5
gene-PEX26|PEX26,530,69
gene-BCL2L13|BCL2L13,309,101
gene-MICAL3|MICAL3,759,299
gene-BID|BID,634,90
gene-LOC120318948|LOC120318948,134,24
gene-USP18|USP18,241,209
gene-BPGM|BPGM,187,48
gene-LOC120319359|LOC120319359,10382,67
gene-LOC120320107|LOC120320107,13,12
gene-LOC120320369|LOC120320369,88,0
gene-RERG|RERG,584,27
gene-LOC120299489|LOC120299489,4,0
gene-CALD1|CALD1,6460,158
gene-LOC120299729|LOC120299729,2,10
gene-CLCN4|CLCN4,308,12
gene-LOC120297127|LOC120297127,189,67
gene-WWC3|WWC3,1162,300
gene-MID1|MID1,592,153
gene-LOC120298069|LOC120298069,12,7
gene-KLHL26|KLHL26,122,61
gene-ARHGAP6|ARHGAP6,546,73
gene-CRTC1|CRTC1,210,122
gene-LOC120298118|LOC120298118,77,26
gene-LOC120298165|LOC120298165,5,4
gene-GDF1|GDF1,4,0
gene-UPF1|UPF1,2258,962
gene-CERS1|CERS1,348,0
gene-COPE|COPE,707,347
gene-DDX49|DDX49,307,87
gene-HOMER3|HOMER3,391,15
gene-LOC120299614|LOC120299614,176,5
gene-LOC120299080|LOC120299080,29,8
gene-SLC25A42|SLC25A42,315,382
gene-SUGP2|SUGP2,2459,646
gene-ARMC6|ARMC6,272,112
gene-TMEM161A|TMEM161A,517,255
