gene_id,SRR9596698,SRR9596699,SRR9596707,SRR9596713,SRR9596714,SRR9596715
gene-LOC117673554|LOC117673554,58,49,0,18,26,0
gene-LOC132711350|LOC132711350,0,0,0,2,0,0
gene-LOC117673551|LOC117673551,343,323,0,98,144,0
gene-PODXL|PODXL,7407,4254,178,785,11987,586
gene-LOC117676824|LOC117676824,4,0,0,8,0,0
gene-LOC117676829|LOC117676829,0,12,6,80,34,9
gene-MKLN1|MKLN1,2458,3375,1403,3316,2757,3372
gene-LOC132710157|LOC132710157,105,155,190,64,521,1517
gene-LOC117676844|LOC117676844,13,76,5,152,0,0
gene-LOC117676831|LOC117676831,1204,682,39,522,421,185
gene-LOC132710080|LOC132710080,40,25,0,10,0,0
gene-LOC132711464|LOC132711464,0,9,0,0,0,3
gene-LOC117676843|LOC117676843,0,2,0,11,0,0
gene-LOC117676826|LOC117676826,1,7,0,135,0,0
gene-LOC117676828|LOC117676828,2,0,0,9,0,0
gene-LOC117676832|LOC117676832,5,16,3,31,6,0
gene-LOC132711862|LOC132711862,15,32,13,95,12,175
gene-THAP7|THAP7,840,661,190,328,289,329
gene-RBM17|RBM17,607,943,199,1241,494,529
gene-PFKFB3|PFKFB3,824,1153,86,1464,1077,384
gene-LOC132712217|LOC132712217,0,0,7,0,5,0
gene-LOC117676847|LOC117676847,22,136,0,43,90,58
gene-PRKCQ|PRKCQ,338,319,33,35,55,143
gene-SFMBT2|SFMBT2,85,227,5,137,167,28
gene-ITIH2|ITIH2,46,33,7305,41,0,15349
gene-ITIH5|ITIH5,655,661,102,239,1094,504
gene-KIN|KIN,461,536,109,574,763,406
gene-ATP5F1C|ATP5F1C,1741,1287,923,1781,1288,3444
gene-GATA3|GATA3,8,9,9,23,14,10
gene-LOC132712302|LOC132712302,0,0,0,0,0,0
gene-LOC132710588|LOC132710588,92,339,15,72,63,39
gene-TAF3|TAF3,560,863,207,825,1087,946
gene-ECHDC3|ECHDC3,719,204,812,86,1751,2928
gene-USP6NL|USP6NL,1024,1839,860,2202,967,1013
gene-PROSER2|PROSER2,215,126,495,125,419,950
gene-ETFRF1|ETFRF1,195,98,75,389,211,216
gene-KRAS|KRAS,740,595,178,261,438,564
gene-GYS2|GYS2,25,63,4384,427,0,7967
gene-CELF2|CELF2,1707,2997,279,3113,1506,594
gene-LOC132710459|LOC132710459,0,0,0,3,0,0
gene-LOC117679848|LOC117679848,7,6,0,64,4,0
gene-LOC117679849|LOC117679849,0,0,0,16,0,0
gene-DNAI7|DNAI7,71,150,0,1838,604,0
gene-IRAG2|IRAG2,49,104,74,810,156,516
gene-KCNJ8|KCNJ8,222,233,45,152,37,71
gene-LDHB|LDHB,7087,4530,2799,12905,4725,7935
gene-LOC132710792|LOC132710792,0,0,0,25,0,0
gene-LOC117679865|LOC117679865,5,0,0,968,0,0
gene-CMAS|CMAS,323,281,320,484,144,767
gene-LOC132710774|LOC132710774,0,0,0,19,0,0
gene-ABCC9|ABCC9,690,520,103,601,87,100
gene-LOC117679861|LOC117679861,0,0,0,0,0,0
gene-ST8SIA1|ST8SIA1,227,145,33,74,372,359
gene-GOLT1B|GOLT1B,647,836,122,666,555,494
gene-ETNK1|ETNK1,728,1316,447,861,653,417
gene-BCAT1|BCAT1,343,378,338,377,217,828
gene-LOC132710912|LOC132710912,95,110,62,363,219,129
gene-C2CD5|C2CD5,1847,1802,514,2245,1304,1160
gene-PDE3A|PDE3A,650,639,176,643,2057,344
gene-SOX5|SOX5,152,133,304,279,428,349
gene-LOC117680098|LOC117680098,0,0,2,36,0,0
