gene_id,SRR22311013,SRR22311015,SRR22311018
gene-LOC128341530|LOC128341530,12,9516,59
gene-CWF19L1|CWF19L1,3641,4219,4850
gene-ERLIN1|ERLIN1,4614,9028,7090
gene-TUBGCP2|TUBGCP2,4065,4948,7609
gene-ZNF511|ZNF511,1687,1668,3022
gene-MMADHC|MMADHC,3197,6041,3037
gene-LOC128340012|LOC128340012,1130,5506,2563
gene-LOC128338400|LOC128338400,10,14,10
gene-LRFN5|LRFN5,20,988,55
gene-TMX1|TMX1,930,10169,702
gene-NEMF|NEMF,1757,1484,3769
gene-KLHDC2|KLHDC2,1402,3734,1724
gene-KLHDC1|KLHDC1,537,2333,898
gene-POLE2|POLE2,74,5658,288
gene-DNAAF2|DNAAF2,150,6766,250
gene-MGAT2|MGAT2,767,4791,1468
gene-LRR1|LRR1,95,8691,122
gene-LOC128339794|LOC128339794,564,696,673
gene-RPS29|RPS29,5429,2977,3961
gene-LOC128341237|LOC128341237,261,110,382
gene-LOC128340393|LOC128340393,6781,4086,5825
gene-LOC128342670|LOC128342670,5798,3762,5865
gene-LOC128345095|LOC128345095,1668,0,1100
gene-MIS18BP1|MIS18BP1,11,6084,0
gene-FANCM|FANCM,6,8316,80
gene-LOC128332910|LOC128332910,7,13,16
gene-MDGA2|MDGA2,93,430,35
gene-LOC128339671|LOC128339671,0,423,0
gene-FKBP3|FKBP3,4478,5671,2365
gene-LOC128350176|LOC128350176,98,99,243
gene-LOC128341393|LOC128341393,0,0,0
gene-PRPF39|PRPF39,3225,1989,5102
gene-ATL1|ATL1,215,4061,236
gene-SAV1|SAV1,946,13295,1633
gene-TOGARAM1|TOGARAM1,578,8748,1417
gene-MAP4K5|MAP4K5,982,11378,1822
gene-KLHL28|KLHL28,831,2030,966
gene-SOS2|SOS2,617,3881,814
gene-L2HGDH|L2HGDH,1589,540,1841
gene-CDKL1|CDKL1,1617,1353,2421
gene-DMAC2L|DMAC2L,786,1551,1000
gene-VCPKMT|VCPKMT,1143,1809,1666
gene-ARF6|ARF6,1363,12595,2698
gene-TRIM9|TRIM9,294,50,245
gene-DDHD1|DDHD1,619,10241,2368
gene-NIN|NIN,102,5251,232
gene-LOC128321965|LOC128321965,0,1307,5
gene-LOC128321962|LOC128321962,97,231,229
gene-PYGL|PYGL,9726,25947,16982
gene-ABHD12B|ABHD12B,2562,1254,2539
gene-FERMT2|FERMT2,647,12642,1222
gene-LOC128341171|LOC128341171,5,1671,0
gene-GNPNAT1|GNPNAT1,950,4112,1079
gene-STYX|STYX,825,4929,1501
gene-ERO1A|ERO1A,249,1135,683
gene-NID2|NID2,4675,3200,7330
gene-RTRAF|RTRAF,4040,5973,4148
gene-LOC128341091|LOC128341091,17,32,156
gene-BMP4|BMP4,10,137,52
gene-GNG2|GNG2,256,27863,244
gene-CNIH1|CNIH1,2952,5439,2367
gene-PSMC6|PSMC6,3330,7650,5136
