gene_id,SRR15315613,SRR15315614,SRR15315615,SRR15315619,SRR15315620,SRR15829334,SRR15829335,SRR15829337,SRR15829338
gene-LOC102443437|LOC102443437,40,28,40,47,26,41,35,41,31
gene-LOC112545751|LOC112545751,0,0,0,0,0,0,0,0,0
gene-LOC102444245|LOC102444245,0,20,4,0,8,12,6,25,259
gene-LOC102444004|LOC102444004,25,11,0,3,0,0,0,0,16
gene-LOC102443765|LOC102443765,11,53,10,7,24,13,0,19,12
gene-LOC102444481|LOC102444481,0,5,0,0,0,0,0,7,0
gene-LOC102444701|LOC102444701,0,0,0,0,0,0,0,0,0
gene-LOC102443602|LOC102443602,1472,728,1719,5,0,325,450,0,347
gene-LOC112544880|LOC112544880,3,9,10,13,13,0,0,0,0
gene-LOC102445185|LOC102445185,0,0,0,0,26,31,28,36,0
gene-LOC112545294|LOC112545294,7,66,1,23,14,200,2,95,8
gene-LOC102446540|LOC102446540,6,64,0,3,90,7,13,18,5
gene-LOC102446305|LOC102446305,228,118,0,133,171,72,80,171,73
gene-LOC112545940|LOC112545940,15,6,13,8,39,0,0,0,0
gene-LOC112546229|LOC112546229,37,34,44,10,65,0,0,0,0
gene-LOC102445920|LOC102445920,7,3,0,4,0,0,0,0,0
gene-CHPF|CHPF,2027,1852,1278,1533,2011,1818,1814,1350,1036
gene-LOC106732517|LOC106732517,20,29,4,4,0,0,0,33,0
gene-LOC106732562|LOC106732562,36,15,17,9,43,0,0,0,0
gene-LOC112547572|LOC112547572,44,35,30,50,35,16,23,20,5
gene-DDIT3|DDIT3,197,156,164,294,118,1616,1793,260,246
gene-GOT2|GOT2,17551,16028,10212,13983,20658,10767,6656,9004,7347
gene-MARS|MARS,2921,2934,2476,4519,3196,701,1109,762,660
gene-LOC106732805|LOC106732805,239,153,213,2,0,3,0,0,11
gene-HSPBP1|HSPBP1,4861,4011,2337,4659,3745,729,1320,877,1185
gene-LOC102449075|LOC102449075,17,0,20,3,9,8776,10854,15836,8983
gene-LOC102448838|LOC102448838,824,621,647,451,924,10194,19393,25872,28057
gene-LOC102449710|LOC102449710,19,18,17,21,33,15,3,36,9
gene-UBE2Q1|UBE2Q1,5052,4992,3300,5977,5200,2169,2363,2738,1751
gene-LOC106731322|LOC106731322,23,8,12,7,31,0,6,22,0
gene-LOC102450437|LOC102450437,112,74,49,42,62,11,16,44,9
gene-ADAR|ADAR,7694,7249,4138,4371,8539,2137,1840,2027,1774
gene-CHRNB2|CHRNB2,114,85,27,20,63,0,0,0,0
gene-LOC102451768|LOC102451768,10173,11114,9895,10366,13685,295,317,962,468
gene-LOC102452257|LOC102452257,31,33,9,25,10,0,0,0,0
gene-LOC102450656|LOC102450656,65,92,37,45,40,0,0,24,0
gene-BPIFB4|BPIFB4,16,11,0,16,11,0,0,0,0
gene-LOC112544328|LOC112544328,145,117,79,130,103,81,112,155,97
gene-LOC102453533|LOC102453533,252,199,170,153,194,164,148,238,160
gene-EFCAB8|EFCAB8,6412,6359,5361,7537,6948,1395,1106,1213,964
gene-MAPRE1|MAPRE1,6680,6479,4414,7010,7289,568,394,546,354
gene-MRPL2|MRPL2,3913,3853,3490,4364,3531,1816,1605,985,1018
gene-LOC102453022|LOC102453022,2221,1550,877,1226,2164,820,786,791,597
gene-LOC106731418|LOC106731418,0,11,35,6,5,0,0,0,0
gene-LOC102453279|LOC102453279,615,501,716,928,544,311,899,716,517
gene-LOC102453769|LOC102453769,403,405,327,291,210,76,129,34,152
gene-CALU|CALU,1618,1730,828,796,2334,4516,1897,1963,1870
gene-LOC102455090|LOC102455090,381,223,88,203,247,0,0,0,0
gene-LOC102455828|LOC102455828,634,491,405,304,711,77,74,90,107
gene-LOC102456072|LOC102456072,743,634,807,1221,671,114,216,355,118
gene-LOC102456235|LOC102456235,730,598,505,738,860,303,344,646,287
gene-LOC102456734|LOC102456734,0,4,0,0,4,5,3,0,0
gene-LOC102456901|LOC102456901,9,0,0,15,0,0,0,0,0
gene-LOC102457303|LOC102457303,36,25,13,30,23,0,0,0,0
gene-LOC102457559|LOC102457559,32,17,14,0,19,15,15,14,38
gene-LOC102456489|LOC102456489,555,805,217,134,701,10951,8469,22963,22581
gene-LOC102458311|LOC102458311,3,3,19,35,8,0,0,0,0
gene-LOC102459177|LOC102459177,88,96,79,56,127,40,47,21,11
gene-LOC102457814|LOC102457814,3529,2131,769,490,1982,152239,129869,332945,622744
gene-KDM4A|KDM4A,10756,9607,7929,8566,10006,2173,3446,3340,2838
