gene_id,SRR8754967,SRR8754969,SRR8754971,SRR8754979
gene-INSYN2|INSYN2,0,5,58,19
gene-LOC113411864|LOC113411864,36,183,153,136
gene-LOC113411880|LOC113411880,72,212,102,254
gene-DOCK1|DOCK1,60,205,235,380
gene-TEX36|TEX36,8,21,216,42
gene-BCCIP|BCCIP,210,525,376,1149
gene-UROS|UROS,80,117,61,747
gene-EDRF1|EDRF1,109,318,289,3000
gene-ADAM12|ADAM12,18,264,230,485
gene-CTBP2|CTBP2,36,892,1367,464
gene-ZRANB1|ZRANB1,525,790,783,2373
gene-EEF1AKMT2|EEF1AKMT2,6,23,51,1007
gene-ABRAXAS2|ABRAXAS2,102,350,240,1533
gene-LHPP|LHPP,42,110,234,550
gene-LOC113414067|LOC113414067,0,0,0,0
gene-FAM53B|FAM53B,104,142,146,963
gene-LOC113413061|LOC113413061,125,430,223,611
gene-OAT|OAT,1929,4416,2862,1366
gene-CHST15|CHST15,78,1344,1175,430
gene-CPXM2|CPXM2,92,822,48,169
gene-BUB3|BUB3,194,395,608,4704
gene-ACADSB|ACADSB,243,278,182,348
gene-IKZF5|IKZF5,157,332,272,2765
gene-PSTK|PSTK,96,156,171,2695
gene-LOC113413149|LOC113413149,143,834,106,625
gene-CUNH10orf88|CUNH10orf88,39,105,149,819
gene-LOC113413217|LOC113413217,0,0,0,0
gene-LOC113413160|LOC113413160,93,0,2,49
gene-LOC113413236|LOC113413236,0,0,0,0
gene-LOC113413228|LOC113413228,30,6,0,9
gene-LOC113413250|LOC113413250,119,28,34,31
gene-HTRA1|HTRA1,52,3255,1452,1394
gene-PLEKHA1|PLEKHA1,83,458,587,717
gene-NSMCE4A|NSMCE4A,145,466,512,4356
gene-LOC113413336|LOC113413336,0,10,10,14
gene-LOC113413276|LOC113413276,0,6,0,0
gene-TACC2|TACC2,117,617,251,359
gene-ATE1|ATE1,167,320,291,2201
gene-LOC113413448|LOC113413448,0,35,30,57
gene-WDR11|WDR11,171,172,348,607
gene-FGFR2|FGFR2,4071,209,1712,525
gene-INPP5F|INPP5F,228,631,2538,1453
gene-BAG3|BAG3,153,623,759,7269
gene-LOC113411956|LOC113411956,0,0,4,0
gene-TIAL1|TIAL1,872,1552,1177,2427
gene-RGS10|RGS10,6,69,36,102
gene-GRK5|GRK5,18,30,32,105
gene-SEC23IP|SEC23IP,236,475,390,4397
gene-MCMBP|MCMBP,295,724,660,3998
gene-SFXN4|SFXN4,61,108,98,295
gene-PRDX3|PRDX3,1882,839,535,3072
gene-FAM45A|FAM45A,85,193,163,3084
gene-NANOS1|NANOS1,17,97,53,1565
gene-CACUL1|CACUL1,45,123,106,363
gene-LOC113411962|LOC113411962,2,0,2,0
gene-LOC113411971|LOC113411971,1,0,2,32
gene-FAM204A|FAM204A,20,114,205,528
gene-EIF3A|EIF3A,1189,2947,2126,9374
gene-LOC113414072|LOC113414072,0,0,0,1
gene-PDZD8|PDZD8,119,476,343,774
gene-RAB11FIP2|RAB11FIP2,43,152,210,368
gene-KCNK18|KCNK18,0,0,4,0
gene-EMX2|EMX2,0,338,137,411
gene-SLC18A2|SLC18A2,30,0,206,0
gene-VAX1|VAX1,3,0,2,5
gene-ENO4|ENO4,0,0,250,184
gene-CUNH10orf82|CUNH10orf82,0,0,0,699
gene-HSPA12A|HSPA12A,0,62,185,2671
gene-LOC113412008|LOC113412008,0,0,0,0
gene-LOC113413722|LOC113413722,0,0,0,0
gene-SHTN1|SHTN1,324,12,64,92
gene-GFRA1|GFRA1,14,0,101,946
gene-FAM160B1|FAM160B1,299,507,304,1220
gene-AFAP1L2|AFAP1L2,0,225,51,324
gene-ABLIM1|ABLIM1,245,740,2707,1291
gene-TDRD1|TDRD1,17,23,415,2548
gene-ATRNL1|ATRNL1,90,846,539,2026
gene-VWA2|VWA2,362,12,30,79
gene-LOC113412771|LOC113412771,0,5,0,0
gene-ADRB1|ADRB1,57,188,39,100
gene-CCDC186|CCDC186,364,556,299,1326
gene-DCLRE1A|DCLRE1A,25,129,145,1535
gene-PLEKHS1|PLEKHS1,12,0,0,0
gene-NHLRC2|NHLRC2,116,493,271,869
gene-NRAP|NRAP,554,18,20,236
gene-CASP7|CASP7,965,339,339,2199
gene-HABP2|HABP2,4655,0,0,0
gene-TCF7L2|TCF7L2,134,430,460,1097
gene-ACSL5|ACSL5,172,0,8,504
gene-ZDHHC6|ZDHHC6,99,244,190,774
gene-LOC113412776|LOC113412776,0,0,16,11
gene-VTI1A|VTI1A,57,165,122,579
gene-TECTB|TECTB,1504,0,29,35
gene-ADRA2A|ADRA2A,2,22,342,233
gene-LOC113411253|LOC113411253,0,0,0,0
gene-GPAM|GPAM,3329,82,663,422
gene-SHOC2|SHOC2,302,1031,1142,9901
gene-RBM20|RBM20,0,5,15,8
gene-LOC113416118|LOC113416118,24,81,84,177
gene-PDCD4|PDCD4,1396,598,1225,7609
gene-MXI1|MXI1,222,366,328,639
gene-SMC3|SMC3,528,1744,2231,4471
gene-SMNDC1|SMNDC1,175,536,514,1422
gene-DUSP5|DUSP5,6,718,23,917
gene-ADD3|ADD3,154,2164,2970,3999
gene-XPNPEP1|XPNPEP1,236,643,369,1604
gene-LOC113426603|LOC113426603,10,225,638,6979
gene-ITPRIP|ITPRIP,30,440,93,1884
gene-CFAP58|CFAP58,41,0,96,1219
gene-SFR1|SFR1,7,20,45,1029
gene-CFAP43|CFAP43,0,22,322,465
gene-COL17A1|COL17A1,0,137,46,228
gene-STN1|STN1,22,89,57,627
gene-SLK|SLK,293,714,966,1978
gene-CALHM2|CALHM2,6,83,5,15
gene-SORCS3|SORCS3,0,0,0,0
gene-LOC113424867|LOC113424867,0,0,0,0
gene-ATP5MD|ATP5MD,58,79,51,447
gene-SH3PXD2A|SH3PXD2A,100,886,246,3113
gene-PDCD11|PDCD11,298,796,786,5414
gene-TAF5|TAF5,106,387,271,471
gene-INA|INA,4,21,60,3465
gene-PCGF6|PCGF6,61,89,85,1858
gene-BORCS7|BORCS7,41,146,185,914
gene-LOC113410986|LOC113410986,0,49,270,57
gene-NT5C2|NT5C2,4039,3410,984,3647
gene-CNNM2|CNNM2,72,66,399,1552
gene-SFXN2|SFXN2,67,27,36,400
gene-WBP1L|WBP1L,919,1702,1870,5633
gene-ARL3|ARL3,24,215,597,2400
gene-TRIM8|TRIM8,415,2373,976,7965
gene-ACTR1A|ACTR1A,77,184,386,827
gene-SUFU|SUFU,94,179,369,772
gene-LOC113412109|LOC113412109,1,0,2,1130
gene-SLF2|SLF2,34,32,117,377
gene-MFSD13A|MFSD13A,722,1193,377,4998
gene-MRPL43|MRPL43,136,275,177,978
gene-TWNK|TWNK,47,120,154,2255
gene-PDZD7|PDZD7,37,41,37,40
gene-LZTS2|LZTS2,99,1122,1336,934
gene-SFXN3|SFXN3,48,421,138,347
gene-SEMA4G|SEMA4G,1172,48,143,721
gene-KAZALD1|KAZALD1,0,5,8,48
gene-LOC113412831|LOC113412831,0,0,0,33
gene-BTRC|BTRC,91,202,237,1938
gene-LOC113414164|LOC113414164,0,0,0,0
gene-NPM3|NPM3,109,278,825,352
gene-POLL|POLL,32,109,101,308
gene-DPCD|DPCD,101,268,299,377
gene-FBXW4|FBXW4,334,540,371,1986
gene-OGA|OGA,500,1510,1945,3912
gene-ARMH3|ARMH3,162,349,415,1626
gene-HPS6|HPS6,193,358,262,2999
gene-LOC113414726|LOC113414726,89,91,78,50
gene-PPRC1|PPRC1,105,520,440,8864
gene-LDB1|LDB1,339,1693,1885,6603
gene-ARHGAP19|ARHGAP19,0,14,648,521
gene-SLIT1|SLIT1,16,138,369,37
gene-LCOR|LCOR,490,442,406,702
gene-LOC113415926|LOC113415926,0,0,0,0
gene-RRP12|RRP12,1244,1979,1530,9809
gene-PGAM1|PGAM1,1774,1926,1260,12630
gene-UBTD1|UBTD1,57,351,150,1659
gene-MORN4|MORN4,4,219,201,377
gene-HOGA1|HOGA1,135,60,199,319
gene-ZDHHC16|ZDHHC16,865,434,328,1461
gene-EXOSC1|EXOSC1,191,260,301,1283
gene-MMS19|MMS19,409,691,622,2225
gene-MARVELD1|MARVELD1,30,219,98,53
gene-AVPI1|AVPI1,164,115,172,581
gene-PI4K2A|PI4K2A,201,608,329,1559
gene-ZFYVE27|ZFYVE27,65,242,149,408
gene-SFRP5|SFRP5,44,217,80,7143
gene-CRTAC1|CRTAC1,14,27,0,106
gene-R3HCC1L|R3HCC1L,52,237,156,1162
gene-PYROXD2|PYROXD2,184,279,310,167
gene-HPS1|HPS1,140,512,311,564
gene-CNNM1|CNNM1,34,158,414,49
gene-GOT1|GOT1,1271,889,619,9764
gene-SLC25A28|SLC25A28,596,868,776,2971
gene-LOC113418787|LOC113418787,0,19,46,47
gene-ENTPD7|ENTPD7,417,612,243,1255
gene-CUTC|CUTC,107,96,133,396
gene-LOC113418175|LOC113418175,142,275,243,2418
gene-ABCC2|ABCC2,1919,180,134,344
gene-DNMBP|DNMBP,152,678,860,1277
gene-CPN1|CPN1,2547,14,0,0
gene-TCTN3|TCTN3,30,105,144,291
gene-ENTPD1|ENTPD1,120,977,104,380
gene-ALDH18A1|ALDH18A1,517,448,566,2896
gene-DUSP28|DUSP28,139,4,9,25
gene-LOC113419757|LOC113419757,1458,16,61,81
gene-MAP6D1|MAP6D1,0,24,53,39
gene-PARL|PARL,248,536,408,3064
gene-LOC113420353|LOC113420353,64,162,114,144
gene-YEATS2|YEATS2,148,342,569,2007
gene-KLHL24|KLHL24,130,163,348,275
gene-KLHL6|KLHL6,27,61,53,140
gene-LOC113412864|LOC113412864,0,15,82,9
gene-LOC113420484|LOC113420484,0,199,846,65
gene-PLEKHB2|PLEKHB2,71,542,312,1789
gene-FAM168B|FAM168B,1003,3146,2620,12116
gene-HS6ST1|HS6ST1,181,420,555,282
gene-LOC113421628|LOC113421628,0,0,0,0
gene-UGGT1|UGGT1,1071,1384,1015,3293
gene-POLR2D|POLR2D,138,383,282,969
gene-SAP130|SAP130,421,1036,806,16795
gene-LOC113421398|LOC113421398,30,71,73,66
gene-AMMECR1L|AMMECR1L,194,473,374,1259
gene-SFT2D3|SFT2D3,58,199,125,492
gene-LIMS2|LIMS2,77,504,279,544
gene-GPR17|GPR17,4,10,20,10
