gene_id,SRR8468522,SRR8468523
gene-LOC114595581|LOC114595581,0,92
gene-LOC114596289|LOC114596289,580,79
gene-LOC114601100|LOC114601100,115,98
gene-LOC114600179|LOC114600179,47,852
gene-CWF19L1|CWF19L1,1002,6646
gene-LOC114585404|LOC114585404,71,2128
gene-LOC114597600|LOC114597600,67,923
gene-LOC114604713|LOC114604713,5170,11340
gene-TUBGCP2|TUBGCP2,2314,13396
gene-ZNF511|ZNF511,685,1449
gene-POLE3|POLE3,1644,43257
gene-KLHL28|KLHL28,4476,9597
gene-TMX1|TMX1,1660,37366
gene-LOC114607113|LOC114607113,3199,12288
gene-RGS3|RGS3,657,106160
gene-C1H9orf43|C1H9orf43,10,15557
gene-LOC114590706|LOC114590706,0,1151
gene-LOC114585419|LOC114585419,0,614
gene-LOC114590641|LOC114590641,224,268
gene-LOC114585646|LOC114585646,0,5
gene-PRPF39|PRPF39,4224,22948
gene-FKBP3|FKBP3,8083,29179
gene-LOC114585425|LOC114585425,3,11
gene-LOC114585432|LOC114585432,3,11
gene-MDGA2|MDGA2,60,66
gene-MGAT2|MGAT2,541,2024
gene-DNAAF2|DNAAF2,214,16139
gene-LOC114591300|LOC114591300,73,1956
gene-LOC114592341|LOC114592341,20829,37789
gene-RPS29|RPS29,19134,34142
gene-LRR1|LRR1,1787,13908
gene-ARF6|ARF6,2646,11895
gene-LOC114592501|LOC114592501,721,383
gene-POLE2|POLE2,139,6440
gene-KLHDC1|KLHDC1,2109,33940
gene-KLHDC2|KLHDC2,5632,9536
gene-NEMF|NEMF,4430,15509
gene-VCPKMT|VCPKMT,2418,3714
gene-LOC114584787|LOC114584787,0,23
gene-LOC114592565|LOC114592565,0,37
gene-LOC114591013|LOC114591013,4,5539
gene-SOS2|SOS2,4387,13725
gene-ATL1|ATL1,151,1553
gene-MAP4K5|MAP4K5,1751,14185
gene-SAV1|SAV1,3651,7823
gene-NIN|NIN,185,4385
gene-ABHD12B|ABHD12B,131,242
gene-PYGL|PYGL,688,4627
gene-TRIM9|TRIM9,5,66
gene-DDHD1|DDHD1,8496,15471
gene-FERMT2|FERMT2,14471,7665
gene-ERO1A|ERO1A,1409,3143
gene-PTGER2|PTGER2,0,0
gene-LOC114585452|LOC114585452,5,0
gene-TXNDC16|TXNDC16,123,920
gene-GPR137C|GPR137C,167,375
gene-GNG2|GNG2,174,260
gene-GNPNAT1|GNPNAT1,1018,3257
gene-STYX|STYX,26046,13219
gene-PSMC6|PSMC6,40401,15864
gene-FRMD6|FRMD6,252,611
gene-NID2|NID2,2013,1303
gene-RTRAF|RTRAF,9419,6421
gene-BMP4|BMP4,379,467
gene-GMFB|GMFB,893,22405
gene-CNIH1|CNIH1,7373,5885
gene-CGRRF1|CGRRF1,542,886
gene-SAMD4A|SAMD4A,1148,239
gene-SOCS4|SOCS4,143,2112
gene-GCH1|GCH1,4,17
gene-LOC114595773|LOC114595773,1495,209
gene-WDHD1|WDHD1,119,32240
gene-MAPK1IP1L|MAPK1IP1L,1894,5501
gene-LOC114596155|LOC114596155,1924,213
gene-DLGAP5|DLGAP5,23,27784
gene-LOC114585627|LOC114585627,0,9
gene-FBXO34|FBXO34,1046,4117
gene-IMP3|IMP3,873,637
gene-ATG14|ATG14,19935,5140
gene-LOC114585672|LOC114585672,0,3
gene-ARMH4|ARMH4,5,1243
gene-SLC35F4|SLC35F4,0,549
gene-ACTR10|ACTR10,4608,12975
gene-LOC114585815|LOC114585815,0,2
gene-CCDC198|CCDC198,5,79
gene-NAA30|NAA30,4139,6852
gene-TMEM260|TMEM260,64,1583
gene-AP5M1|AP5M1,3028,7771
gene-EXOC5|EXOC5,8824,16593
gene-PELI2|PELI2,1287,17721
gene-KTN1|KTN1,98910,33780
gene-ARID4A|ARID4A,1387,12814
gene-KIAA0586|KIAA0586,390,21912
gene-TOMM20L|TOMM20L,11,1556
gene-TIMM9|TIMM9,998,1792
gene-LOC114585485|LOC114585485,30,3019
gene-PSMA3|PSMA3,40922,34733
gene-LOC114599356|LOC114599356,10,52234
gene-DACT1|DACT1,125,1229
gene-LOC114585462|LOC114585462,0,4
gene-DAAM1|DAAM1,408,10520
gene-RTN1|RTN1,20,6800
gene-L3HYPDH|L3HYPDH,1266,10854
gene-LOC114599819|LOC114599819,12,11047
gene-JKAMP|JKAMP,2216,3259
gene-LOC114585505|LOC114585505,0,93
gene-PCNX4|PCNX4,482,18007
gene-DHRS7|DHRS7,1110,4702
gene-LOC114601272|LOC114601272,0,26836
gene-PPM1A|PPM1A,11605,11262
gene-SIX4|SIX4,223,561
gene-SIX1|SIX1,8575,2
gene-LOC114601813|LOC114601813,514,0
gene-LOC114602108|LOC114602108,50,0
gene-LOC114602149|LOC114602149,5,181
gene-LOC114602272|LOC114602272,35,367
gene-MNAT1|MNAT1,3859,6526
gene-TRMT5|TRMT5,1696,7625
gene-SLC38A6|SLC38A6,505,3630
gene-HIF1A|HIF1A,5605,17567
gene-LOC114602553|LOC114602553,17,6
gene-SYT16|SYT16,4,424
gene-SNAPC1|SNAPC1,1053,6673
gene-GPHB5|GPHB5,0,170
gene-RHOJ|RHOJ,183,418
gene-SGPP1|SGPP1,961,7131
gene-PPP2R5E|PPP2R5E,4080,15069
gene-LOC114603256|LOC114603256,311,4447
gene-WDR89|WDR89,259,1993
gene-ESR2|ESR2,176,87
gene-TRNAI-GAU|TRNAI-GAU,0,0
gene-MTHFD1|MTHFD1,335,1280
gene-AKAP5|AKAP5,14,9214
