gene_id,SRR11050679,SRR11647816,SRR11647817
gene-LOC121915633|LOC121915633,335,5,36
gene-GPN1|GPN1,1122,6,20
gene-ZNF512|ZNF512,870,5,57
gene-LOC121932887|LOC121932887,6,0,3
gene-MPV17|MPV17,94,0,5
gene-TRIM54|TRIM54,22,0,0
gene-LOC121919980|LOC121919980,138,0,7
gene-LOC121919995|LOC121919995,129,0,9
gene-GTF3C2|GTF3C2,648,0,36
gene-SLC30A3|SLC30A3,33,0,3
gene-LOC121919936|LOC121919936,834,0,45
gene-IFT172|IFT172,4934,0,31
gene-NRBP1|NRBP1,7069,0,76
gene-PPM1G|PPM1G,4912,0,64
gene-ZNF513|ZNF513,249,0,21
gene-SNX17|SNX17,1519,33,322
gene-EIF2B4|EIF2B4,1146,12,62
gene-CAD|CAD,3966,13,166
gene-ATRAID|ATRAID,1022,3,29
gene-PREB|PREB,661,19,176
gene-SLC5A6|SLC5A6,1289,64,247
gene-ABHD1|ABHD1,309,17,136
gene-KHK|KHK,186,13,219
gene-LOC121919531|LOC121919531,42,0,17
gene-KIF3C|KIF3C,1397,8,126
gene-LOC121919741|LOC121919741,726,0,15
gene-OST4|OST4,1274,7,38
gene-LOC121931781|LOC121931781,2530,0,43
gene-LOC121919542|LOC121919542,0,0,0
gene-LOC121919295|LOC121919295,336,0,23
gene-HADHA|HADHA,7949,125,704
gene-EMILIN1|EMILIN1,118,32,407
gene-PBK|PBK,5002,0,10
gene-LOC121921326|LOC121921326,539,5,73
gene-LOC121921297|LOC121921297,117,13,203
gene-LOC121921318|LOC121921318,613,0,0
gene-SELENOI|SELENOI,548,0,60
gene-ADGRF3|ADGRF3,3,0,0
gene-LOC121919294|LOC121919294,88,0,0
gene-LOC121919735|LOC121919735,33,0,0
gene-HADHB|HADHB,6153,91,414
gene-GAREM2|GAREM2,197,0,0
gene-RAB10|RAB10,5419,29,334
gene-TMEM214|TMEM214,2870,47,291
gene-MAPRE3|MAPRE3,1414,0,16
gene-DPYSL5|DPYSL5,453,0,0
gene-DNMT3A|DNMT3A,650,0,69
gene-ASXL2|ASXL2,155,3,55
gene-LOC121919786|LOC121919786,233,17,82
gene-CCDC25|CCDC25,2232,0,29
gene-SCARA3|SCARA3,136,0,0
gene-LOC121919087|LOC121919087,153,10,140
gene-CLU|CLU,3322,15,75
gene-SLC35F6|SLC35F6,709,0,77
gene-CIB4|CIB4,29,0,0
gene-KCNK3|KCNK3,40,0,16
gene-FAM166C|FAM166C,187,0,0
gene-PNOC|PNOC,162,0,0
gene-ELP3|ELP3,2039,0,39
gene-LOC121918939|LOC121918939,44,0,0
gene-ZNF395|ZNF395,235,4,18
gene-LOC121929589|LOC121929589,134,0,0
gene-EFR3B|EFR3B,930,0,8
gene-TRIM35|TRIM35,2253,0,13
