transcript_id,SRR11306933,SRR11306934,SRR22062179
rna-XM_042860000.2,0,703,0
rna-XR_006176791.2,0,0,0
rna-XR_010599987.1,0,0,6
rna-XM_005310835.4,0,0,177
rna-XM_005310836.4,0,0,0
rna-XM_024111657.3,0,0,1330
rna-XM_042859999.2,0,0,5
rna-XM_065589892.1,0,0,11
rna-XR_010599982.1,1003,945,76
rna-XM_005310833.4,191,0,0
rna-XM_065592350.1,1,0,2
gene-LOC135983127,577,904,858
rna-XM_065551352.1,1308,1434,124
rna-XR_010601123.1,4,0,0
rna-XM_042860006.2,6,35,36
rna-XM_005310825.5,192,292,4315
rna-XM_005310826.4,12,4,342
rna-XM_065592856.1,2,0,23
rna-XM_005310830.4,86,129,5418
rna-XM_024111656.3,45,54,613
rna-XM_005310828.5,2,0,512
rna-XM_005310829.4,16,0,151
rna-XR_010601100.1,0,12,0
rna-XM_065591623.1,0,12,0
rna-XM_042860010.2,0,0,0
rna-XM_005310824.5,1023,1231,391
rna-XM_065590722.1,0,0,0
rna-XM_065590680.1,5,31,725
rna-XM_065591752.1,341,1038,3236
rna-XM_008172799.4,0,0,6879
rna-XM_065590917.1,0,0,0
rna-XM_065590994.1,0,0,610
rna-XM_065590940.1,0,0,3
rna-XR_010601046.1,0,0,11
rna-XR_006173601.2,0,0,0
rna-XM_065592417.1,2,0,0
rna-XM_008172809.4,11,13,10
rna-XM_065590812.1,22,0,0
rna-XR_010601060.1,31,58,1087
rna-XM_065589968.1,0,0,2
rna-XM_065590128.1,0,67,0
rna-XM_065590297.1,0,0,0
rna-XM_065590554.1,0,0,8
rna-XR_010600169.1,0,0,0
rna-XM_065590517.1,0,0,62
rna-XM_065590091.1,0,0,347
rna-XM_065590167.1,0,13,0
rna-XM_065590203.1,0,0,0
rna-XM_065591816.1,0,0,0
rna-XM_065590024.1,0,0,1
rna-XM_065590618.1,0,0,0
rna-XM_065590251.1,362,523,2180
rna-XM_065590332.1,63,0,5
rna-XM_065590451.1,201,312,1192
rna-XM_065590393.1,120,118,323
rna-XM_065594663.1,0,0,31
rna-XR_010589130.1,0,0,16
rna-XM_065593475.1,0,0,151
rna-XM_065594172.1,0,12,0
rna-XM_065591882.1,0,3,5
rna-XM_065596957.1,0,4,0
rna-XM_065594398.1,0,0,0
rna-XM_065592034.1,0,0,0
rna-XM_065592117.1,0,8306,5707
rna-XM_065592081.1,0,16,0
rna-XM_065592172.1,0,0,0
rna-XM_065592276.1,0,404,700
rna-XR_010589138.1,0,0,0
rna-XM_065551390.1,0,0,0
rna-XM_008174150.4,0,0,0
rna-XM_065551383.1,0,0,4
rna-XM_005294550.4,0,0,19600
rna-XM_065551404.1,0,0,6
rna-XM_065596965.1,0,0,12976
rna-XR_010601067.1,14,28,4
rna-XM_065593571.1,189,30,76
rna-XM_065593628.1,16,0,0
rna-XM_065593419.1,4,5,0
rna-XR_010589131.1,40,43,117
rna-XM_065593516.1,65,28,24
rna-XM_065593300.1,75,31,132
rna-XM_065593253.1,52,27,38
rna-XM_065551375.1,3,0,0
rna-XM_065593977.1,116,172,0
rna-XM_065593921.1,107,129,0
rna-XM_065594039.1,1,0,60
rna-XM_065594106.1,63,13,0
rna-XM_065595081.1,92,27,0
rna-XM_065593364.1,163,90,0
rna-XR_010589136.1,69,50,54
rna-XM_065593143.1,13,13,14
rna-XM_005313237.5,29,1,8
rna-XM_065591460.1,29,4,23
rna-XM_065593694.1,407,103,174
rna-XM_065591957.1,43,18,9
rna-XM_065594566.1,189,34,59
rna-XM_065592945.1,80,15,50
rna-XM_065592986.1,26,10,0
rna-XM_065593773.1,54,15,0
rna-XM_024110703.3,16,0,8
rna-XM_065594282.1,2,0,7
rna-XM_065594456.1,1,0,0
rna-XM_065595001.1,37,7,20
rna-XM_065580716.1,498,751,1627
rna-XM_065592229.1,194,196,52
rna-XM_065591327.1,174,359,744
rna-XM_065591268.1,145,387,40
rna-XM_065591384.1,192,346,32
rna-XM_065591210.1,0,5,0
rna-XM_065591167.1,10,8,0
rna-XM_065592488.1,54,320,145
rna-XM_065592536.1,14,45,0
rna-XM_005294569.4,0,0,31642
rna-XM_065551444.1,824,847,4805
rna-XM_008174152.4,491,648,1084
rna-XM_005294556.4,575,746,65
rna-XM_065551480.1,0,21,0
rna-XM_065551467.1,0,6,315
rna-XM_042860920.2,273,543,2904
rna-XM_065551556.1,0,0,0
rna-XM_065551568.1,0,0,0
rna-XM_042860924.2,0,0,0
rna-XM_065551579.1,0,0,12
rna-XM_065551574.1,284,551,11994
rna-XM_065551564.1,16,0,182
gene-LOC101944561,8,9,1
rna-XM_005294553.4,0,3,8
rna-XM_008174151.4,12863,23236,25020
rna-XM_005294572.4,9,15,69
rna-XM_024110717.3,0,0,16
rna-XM_042860925.2,69,44,22
rna-XR_006176996.2,37,32,0
rna-XM_065551525.1,0,0,0
rna-XM_065551537.1,0,0,0
rna-XM_065551542.1,0,0,12
rna-XM_065551545.1,0,0,0
rna-XM_065551548.1,0,0,0
rna-XM_065551508.1,0,0,0
rna-XM_065551514.1,0,56,1577
rna-XM_065551527.1,0,0,0
rna-XM_065551531.1,0,0,0
rna-XM_065551546.1,1456,2007,8345
rna-XM_065551520.1,1249,1084,0
rna-XM_065551620.1,198,295,204
rna-XM_065551618.1,156,41,298
rna-XM_065551631.1,270,845,19
rna-XM_065551634.1,10,260,41
rna-XM_065597005.1,0,0,1
rna-XM_065597011.1,0,0,2
rna-XM_065596998.1,7,11,0
rna-XM_065597015.1,10,10,0
rna-XM_065551599.1,0,0,1209
rna-XM_065551609.1,3521,4713,9457
rna-XM_065551589.1,346,241,168
rna-XM_065551498.1,1,10,8
rna-XM_008174154.4,1,0,238
rna-XM_065551982.1,0,0,4
rna-XR_010589247.1,20,12,52
