Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11050679_1	SRR11050679_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26344808.0	3.9 Gbp	0.0	151.0	44.0	8.655253951179946	151.0	151	pass	pass		pass	fail	pass	pass	pass	fail	pass	fail
SRR11050679_2	SRR11050679_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26344808.0	3.9 Gbp	0.0	151.0	44.0	9.544849203690418	151.0	151	pass	pass		pass	warn	pass	pass	pass	fail	pass	fail
SRR11816476_1	SRR11816476_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10048360.0	1.5 Gbp	0.0	151.0	44.0	8.041364530291226	151.0	151	pass	pass		pass	fail	pass	pass	pass	fail	pass	warn
SRR11816476_2	SRR11816476_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10048360.0	1.5 Gbp	0.0	151.0	44.0	8.135830977877816	151.0	151	pass	pass		pass	fail	pass	pass	pass	fail	pass	warn
SRR11816478_1	SRR11816478_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10613912.0	1.6 Gbp	0.0	151.0	44.0	7.315696378610938	151.0	151	pass	pass		pass	fail	warn	pass	pass	fail	pass	warn
SRR11816478_2	SRR11816478_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10613912.0	1.6 Gbp	0.0	151.0	44.0	7.434388305377501	151.0	151	pass	pass		pass	fail	warn	pass	pass	fail	pass	warn
SRR11816479_1	SRR11816479_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9152600.0	1.3 Gbp	0.0	151.0	44.0	11.131136182007136	151.0	151	pass	pass		pass	fail	pass	pass	pass	fail	pass	warn
SRR11816479_2	SRR11816479_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9152600.0	1.3 Gbp	0.0	151.0	44.0	11.19111052592165	151.0	151	pass	pass		pass	fail	pass	pass	pass	fail	pass	warn
SRR12963743_1	SRR12963743_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10774328.0	1.6 Gbp	0.0	151.0	52.0	9.033280667449564	151.0	151	pass	pass		pass	fail	fail	pass	pass	fail	fail	fail
SRR12963743_2	SRR12963743_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10774328.0	1.6 Gbp	0.0	151.0	52.0	9.15264653375389	151.0	151	pass	pass		pass	fail	fail	pass	pass	fail	pass	fail
SRR12963744_1	SRR12963744_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18268344.0	2.7 Gbp	0.0	151.0	53.0	8.820065697407573	151.0	151	pass	pass		pass	fail	warn	pass	pass	fail	fail	fail
SRR12963744_2	SRR12963744_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18268344.0	2.7 Gbp	0.0	151.0	53.0	9.116600026705182	151.0	151	pass	pass		pass	fail	fail	pass	pass	fail	warn	fail
SRR12963745_1	SRR12963745_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15272648.0	2.3 Gbp	0.0	151.0	51.0	9.738436795074586	151.0	151	pass	pass		pass	fail	warn	pass	pass	fail	pass	fail
SRR12963745_2	SRR12963745_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15272648.0	2.3 Gbp	0.0	151.0	51.0	9.870414526062863	151.0	151	pass	pass		pass	fail	warn	pass	pass	fail	pass	fail
SRR12963788_1	SRR12963788_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11902797.0	1.2 Gbp	0.0	101.0	48.0	30.970384918583388	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
SRR12963788_2	SRR12963788_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11902797.0	1.2 Gbp	0.0	101.0	48.0	30.998243537374154	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR12963789_1	SRR12963789_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9481008.0	957.5 Mbp	0.0	101.0	47.0	35.782351003430755	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
SRR12963789_2	SRR12963789_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9481008.0	957.5 Mbp	0.0	101.0	48.0	36.727251112457125	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR12963790_1	SRR12963790_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6531985.0	496.4 Mbp	0.0	76.0	52.0	29.26086850890656	76.0	76	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR12963790_2	SRR12963790_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6531985.0	496.4 Mbp	0.0	76.0	55.0	39.41278643059402	76.0	76	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
SRR13326549_1	SRR13326549_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31268384.0	4.6 Gbp	0.0	150.0	47.0	7.089694744790312	150.0	150	pass	pass		pass	fail	warn	pass	pass	fail	warn	pass
SRR13326549_2	SRR13326549_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31268384.0	4.6 Gbp	0.0	150.0	47.0	7.823163329955888	150.0	150	pass	pass		pass	fail	warn	pass	pass	fail	warn	pass
SRR13326553_1	SRR13326553_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24868176.0	3.7 Gbp	0.0	150.0	39.0	1.7824489161911194	150.0	150	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR13326553_2	SRR13326553_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24868176.0	3.7 Gbp	0.0	150.0	39.0	2.5908086154470604	150.0	150	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
