Organism,Tissue,SRA
Lepidochelys olivacea,Liver,SRR12963788
Lepidochelys olivacea,Liver,SRR12963789
Lepidochelys olivacea,Liver,SRR12963790
Lepidochelys olivacea,Gonads,SRR12963744
Lepidochelys olivacea,Gonads,SRR12963745
Lepidochelys olivacea,Gonads,SRR12963743
Mauremys mutica,Liver,SRR21159097
Mauremys mutica,Liver,SRR21159093
Mauremys mutica,Gonads,SRR21159094
Mauremys mutica,Gonads,SRR21159098
Hemicordylus capensis,Liver,SRR22311018
Hemicordylus capensis,Liver,SRR22311013
Hemicordylus capensis,Gonads,SRR22311015
Hemicordylus capensis,Gonads,SRR22311020
Sceloporus undulatus,Liver,SRR27194003
Sceloporus undulatus,Liver,SRR27194004
Sceloporus undulatus,Gonads,SRR11050679
Phrynosoma platyrhinos,Liver,SRR13326553
Phrynosoma platyrhinos,Gonads,SRR13326549
Erythrolamprus reginae,Liver,SRR30844226
Erythrolamprus reginae,Gonads,SRR30844227
Rhineura floridana,Liver,SRR26583191
Rhineura floridana,Gonads,SRR26583189
Crotalus adamanteus,Liver,SRR21096539
Crotalus adamanteus,Liver,SRR21096545
Crotalus adamanteus,Gonads,SRR21096550
Crotalus adamanteus,Gonads,SRR21096542
Crotalus tigris,Liver,SRR11816478
Crotalus tigris,Liver,SRR11816476
Crotalus tigris,Gonads,SRR11816479
Pantherophis guttatus,Liver,SRR9596707
Pantherophis guttatus,Liver,SRR9596715
Pantherophis guttatus,Gonads,SRR9596713
Pantherophis guttatus,Gonads,SRR9596699
Pantherophis guttatus,Gonads,SRR9596714
Pantherophis guttatus,Gonads,SRR9596698
Thamnophis sirtalis,Liver,SRR33450572
Thamnophis sirtalis,Gonads,SRR869504
Naja naja,Liver,SRR8754967
Naja naja,Liver,SRR8754989
Naja naja,Gonads,SRR8754969
Naja naja,Gonads,SRR8754979
Naja naja,Gonads,SRR8754971
Podarcis muralis,Gonads,SRR6662598
Podarcis muralis,Gonads,SRR6662600
Podarcis muralis,Skin,SRR8468522
Chelonia mydas,Gonads,SRR14839288
Chelonia mydas,Gonads,SRR14517640
Chelonia mydas,Skin,SRR14483578
Chelonia mydas,Skin,SRR14483579
Chelonia mydas,Skin,SRR14483580
Emydura macquarii macquarii,Liver,SRR29317041
Emydura macquarii macquarii,Gonads,SRR29317039
