Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR11050679_1	0.0	0.0
SRR11050679_1_paired	0.0	0.0
SRR11050679_2	0.0	0.0
SRR11050679_2_paired	0.0	0.0
SRR11816476_1	0.0	0.0
SRR11816476_1_paired	0.0	0.0
SRR11816476_2	0.0	0.0
SRR11816476_2_paired	0.0	0.0
SRR11816478_1	0.0	0.0
SRR11816478_1_paired	0.0	0.0
SRR11816478_2	0.0	0.0
SRR11816478_2_paired	0.0	0.0
SRR11816479_1	0.0	0.0
SRR11816479_1_paired	0.0	0.0
SRR11816479_2	0.0	0.0
SRR11816479_2_paired	0.0	0.0
SRR12963743_1	1.1262326522823511	0.48463347319665795
SRR12963743_1_paired	0.7499341799042384	0.32166978604885543
SRR12963743_2	0.0	0.0
SRR12963743_2_paired	0.0	0.0
SRR12963744_1	2.193696374449704	1.3394974388483156
SRR12963744_1_paired	1.5003899368720215	0.9442519214506184
SRR12963744_2	0.24812320153375697	0.10251613391996559
SRR12963744_2_paired	0.1146690071771505	0.0
SRR12963745_1	0.0	0.0
SRR12963745_1_paired	0.0	0.0
SRR12963745_2	0.0	0.0
SRR12963745_2_paired	0.0	0.0
SRR12963788_1	0.0	0.0
SRR12963788_1_paired	0.0	0.0
SRR12963788_2	0.0	0.0
SRR12963788_2_paired	0.0	0.0
SRR12963789_1	0.0	0.0
SRR12963789_1_paired	0.0	0.0
SRR12963789_2	0.15436122403862543	0.21188675296972645
SRR12963789_2_paired	0.15619821996913244	0.10133246644789992
SRR12963790_1	0.13368064990963696	0.1016689413708084
SRR12963790_1_paired	0.12574776520953976	0.10658585070992871
SRR12963790_2	1.7058826681322752	0.3962654537632897
SRR12963790_2_paired	1.1499355446158146	0.5776342575309816
SRR13326549_1	0.22130980609679093	0.2612990808863035
SRR13326549_1_paired	0.2192325801348901	0.2631410481449511
SRR13326549_2	0.193959495956043	0.22320309229923746
SRR13326549_2_paired	0.1926706673880631	0.2260989249265869
SRR13326553_1	0.3676988613881452	4.5193825232699005
SRR13326553_1_paired	0.3734352576670876	4.896100752670507
