Sample	Unique Reads	Duplicate Reads
SRR11050679_1	2280211.0	24064597.0
SRR11050679_1_paired	2228354.0	23814182.0
SRR11050679_2	2514573.0	23830235.0
SRR11050679_2_paired	2487789.0	23554747.0
SRR11816476_1	808026.0	9240334.0
SRR11816476_1_paired	776596.0	9039308.0
SRR11816476_2	817518.0	9230842.0
SRR11816476_2_paired	782152.0	9033752.0
SRR11816478_1	776482.0	9837430.0
SRR11816478_1_paired	745319.0	9636121.0
SRR11816478_2	789080.0	9824832.0
SRR11816478_2_paired	753214.0	9628226.0
SRR11816479_1	1018789.0	8133811.0
SRR11816479_1_paired	993935.0	7948153.0
SRR11816479_2	1024278.0	8128322.0
SRR11816479_2_paired	996722.0	7945366.0
SRR12963743_1	973276.0	9801052.0
SRR12963743_1_paired	934529.0	9670135.0
SRR12963743_2	986137.0	9788191.0
SRR12963743_2_paired	969952.0	9634712.0
SRR12963744_1	1611280.0	16657064.0
SRR12963744_1_paired	1580371.0	16412285.0
SRR12963744_2	1665452.0	16602892.0
SRR12963744_2_paired	1659946.0	16332710.0
SRR12963745_1	1487318.0	13785330.0
SRR12963745_1_paired	1474030.0	13694626.0
SRR12963745_2	1507474.0	13765174.0
SRR12963745_2_paired	1516766.0	13651890.0
SRR12963788_1	3686343.0	8216454.0
SRR12963788_1_paired	3230168.0	8263825.0
SRR12963788_2	3689659.0	8213138.0
SRR12963788_2_paired	3487179.0	8006814.0
SRR12963789_1	3392528.0	6088480.0
SRR12963789_1_paired	3119621.0	6071905.0
SRR12963789_2	3482114.0	5998894.0
SRR12963789_2_paired	3313509.0	5878017.0
SRR12963790_1	1911316.0	4620669.0
SRR12963790_1_paired	1522009.0	3915861.0
SRR12963790_2	2574438.0	3957547.0
SRR12963790_2_paired	1648909.0	3788961.0
SRR13326549_1	2216833.0	29051551.0
SRR13326549_1_paired	2266718.0	28725026.0
SRR13326549_2	2446177.0	28822207.0
SRR13326549_2_paired	2315260.0	28676484.0
SRR13326553_1	443263.0	24424913.0
SRR13326553_1_paired	425087.0	24264601.0
SRR13326553_2	644287.0	24223889.0
SRR13326553_2_paired	617702.0	24071986.0
SRR14483578_1	469208.0	5661656.0
SRR14483578_1_paired	453603.0	5408341.0
SRR14483578_2	499762.0	5631102.0
SRR14483578_2_paired	479827.0	5382117.0
SRR14483579_1	322432.0	3588984.0
SRR14483579_1_paired	310442.0	3398118.0
SRR14483579_2	337820.0	3573596.0
SRR14483579_2_paired	323698.0	3384862.0
SRR14483580_1	509802.0	4854782.0
SRR14483580_1_paired	494439.0	4613793.0
SRR14483580_2	522571.0	4842013.0
SRR14483580_2_paired	502403.0	4605829.0
SRR14517640_1	2611911.0	29554729.0
SRR14517640_1_paired	2528709.0	29390627.0
SRR14517640_2	2914785.0	29251855.0
SRR14517640_2_paired	2891307.0	29028029.0
SRR14839288_1	2611911.0	29554729.0
SRR14839288_1_paired	2528709.0	29390627.0
SRR14839288_2	2914785.0	29251855.0
