Module	Section	Sample Name	Source
FastQC	all_sections	SRR12963790_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963790_2_fastqc.zip
FastQC	all_sections	SRR12963790_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963790_1_fastqc.zip
FastQC	all_sections	SRR12963789_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963789_1_fastqc.zip
FastQC	all_sections	SRR12963789_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963789_2_fastqc.zip
FastQC	all_sections	SRR12963788_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963788_1_fastqc.zip
FastQC	all_sections	SRR12963788_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963788_2_fastqc.zip
FastQC	all_sections	SRR12963788_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963788_1_paired_fastqc.zip
FastQC	all_sections	SRR12963788_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963788_2_paired_fastqc.zip
FastQC	all_sections	SRR12963789_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963789_1_paired_fastqc.zip
FastQC	all_sections	SRR12963789_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963789_2_paired_fastqc.zip
FastQC	all_sections	SRR12963790_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963790_2_paired_fastqc.zip
FastQC	all_sections	SRR12963790_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Liver/SRR12963790_1_paired_fastqc.zip
FastQC	all_sections	SRR12963743_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963743_2_paired_fastqc.zip
FastQC	all_sections	SRR12963743_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963743_2_fastqc.zip
FastQC	all_sections	SRR12963743_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963743_1_fastqc.zip
FastQC	all_sections	SRR12963745_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963745_2_fastqc.zip
FastQC	all_sections	SRR12963745_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963745_1_fastqc.zip
FastQC	all_sections	SRR12963744_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963744_1_fastqc.zip
FastQC	all_sections	SRR12963744_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963744_2_fastqc.zip
FastQC	all_sections	SRR12963743_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963743_1_paired_fastqc.zip
FastQC	all_sections	SRR12963744_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963744_2_paired_fastqc.zip
FastQC	all_sections	SRR12963744_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963744_1_paired_fastqc.zip
FastQC	all_sections	SRR12963745_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963745_1_paired_fastqc.zip
FastQC	all_sections	SRR12963745_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Lepidochelys_olivacea/Gonads/SRR12963745_2_paired_fastqc.zip
FastQC	all_sections	SRR21159097_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Liver/SRR21159097_2_paired_fastqc.zip
FastQC	all_sections	SRR21159097_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Liver/SRR21159097_2_fastqc.zip
FastQC	all_sections	SRR21159097_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Liver/SRR21159097_1_fastqc.zip
FastQC	all_sections	SRR21159093_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Liver/SRR21159093_2_fastqc.zip
FastQC	all_sections	SRR21159093_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Liver/SRR21159093_1_fastqc.zip
FastQC	all_sections	SRR21159093_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Liver/SRR21159093_1_paired_fastqc.zip
FastQC	all_sections	SRR21159093_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Liver/SRR21159093_2_paired_fastqc.zip
FastQC	all_sections	SRR21159097_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Liver/SRR21159097_1_paired_fastqc.zip
FastQC	all_sections	SRR21159094_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Gonads/SRR21159094_1_fastqc.zip
FastQC	all_sections	SRR21159098_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Gonads/SRR21159098_1_fastqc.zip
FastQC	all_sections	SRR21159098_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Gonads/SRR21159098_2_fastqc.zip
FastQC	all_sections	SRR21159094_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Gonads/SRR21159094_2_fastqc.zip
FastQC	all_sections	SRR21159098_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Gonads/SRR21159098_1_paired_fastqc.zip
FastQC	all_sections	SRR21159098_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Mauremys_mutica/Gonads/SRR21159098_2_paired_fastqc.zip
FastQC	all_sections	SRR22311013_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Liver/SRR22311013_2_fastqc.zip
FastQC	all_sections	SRR22311013_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Liver/SRR22311013_1_fastqc.zip
FastQC	all_sections	SRR22311018_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Liver/SRR22311018_1_fastqc.zip
FastQC	all_sections	SRR22311018_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Liver/SRR22311018_2_fastqc.zip
FastQC	all_sections	SRR22311013_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Liver/SRR22311013_1_paired_fastqc.zip
FastQC	all_sections	SRR22311013_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Liver/SRR22311013_2_paired_fastqc.zip
FastQC	all_sections	SRR22311018_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Liver/SRR22311018_2_paired_fastqc.zip
FastQC	all_sections	SRR22311018_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Liver/SRR22311018_1_paired_fastqc.zip
FastQC	all_sections	SRR22311020_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Gonads/SRR22311020_1_paired_fastqc.zip
FastQC	all_sections	SRR22311015_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Gonads/SRR22311015_1_fastqc.zip
FastQC	all_sections	SRR22311015_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Gonads/SRR22311015_2_fastqc.zip
FastQC	all_sections	SRR22311020_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Gonads/SRR22311020_1_fastqc.zip
FastQC	all_sections	SRR22311020_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Gonads/SRR22311020_2_fastqc.zip
FastQC	all_sections	SRR22311015_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Gonads/SRR22311015_2_paired_fastqc.zip
FastQC	all_sections	SRR22311015_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Gonads/SRR22311015_1_paired_fastqc.zip
FastQC	all_sections	SRR22311020_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Hemicordylus_capensis/Gonads/SRR22311020_2_paired_fastqc.zip
FastQC	all_sections	SRR27194004_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Sceloporus_undulatus/Liver/SRR27194004_2_fastqc.zip
FastQC	all_sections	SRR27194003_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Sceloporus_undulatus/Liver/SRR27194003_1_fastqc.zip
FastQC	all_sections	SRR27194004_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Sceloporus_undulatus/Liver/SRR27194004_1_fastqc.zip
FastQC	all_sections	SRR27194003_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Sceloporus_undulatus/Liver/SRR27194003_2_fastqc.zip
FastQC	all_sections	SRR11050679_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Sceloporus_undulatus/Gonads/SRR11050679_2_fastqc.zip
FastQC	all_sections	SRR11050679_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Sceloporus_undulatus/Gonads/SRR11050679_1_fastqc.zip
FastQC	all_sections	SRR11050679_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Sceloporus_undulatus/Gonads/SRR11050679_1_paired_fastqc.zip
FastQC	all_sections	SRR11050679_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Sceloporus_undulatus/Gonads/SRR11050679_2_paired_fastqc.zip
FastQC	all_sections	SRR13326553_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Phrynosoma_platyrhinos/Liver/SRR13326553_1_fastqc.zip
FastQC	all_sections	SRR13326553_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Phrynosoma_platyrhinos/Liver/SRR13326553_2_fastqc.zip
FastQC	all_sections	SRR13326553_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Phrynosoma_platyrhinos/Liver/SRR13326553_2_paired_fastqc.zip
FastQC	all_sections	SRR13326553_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Phrynosoma_platyrhinos/Liver/SRR13326553_1_paired_fastqc.zip
FastQC	all_sections	SRR13326549_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Phrynosoma_platyrhinos/Gonads/SRR13326549_1_fastqc.zip
FastQC	all_sections	SRR13326549_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Phrynosoma_platyrhinos/Gonads/SRR13326549_2_fastqc.zip
FastQC	all_sections	SRR13326549_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Phrynosoma_platyrhinos/Gonads/SRR13326549_2_paired_fastqc.zip
FastQC	all_sections	SRR13326549_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Phrynosoma_platyrhinos/Gonads/SRR13326549_1_paired_fastqc.zip
FastQC	all_sections	SRR30844226_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Erythrolamprus_reginae/Liver/SRR30844226_1_fastqc.zip
FastQC	all_sections	SRR30844226_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Erythrolamprus_reginae/Liver/SRR30844226_2_fastqc.zip
FastQC	all_sections	SRR30844227_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Erythrolamprus_reginae/Gonads/SRR30844227_1_fastqc.zip
FastQC	all_sections	SRR30844227_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Erythrolamprus_reginae/Gonads/SRR30844227_2_fastqc.zip
FastQC	all_sections	SRR26583191_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Rhineura_floridana/Liver/SRR26583191_2_fastqc.zip
FastQC	all_sections	SRR26583191_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Rhineura_floridana/Liver/SRR26583191_1_fastqc.zip
FastQC	all_sections	SRR26583189_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Rhineura_floridana/Gonads/SRR26583189_1_fastqc.zip
FastQC	all_sections	SRR26583189_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Rhineura_floridana/Gonads/SRR26583189_2_fastqc.zip
FastQC	all_sections	SRR21096545_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Liver/SRR21096545_1_fastqc.zip
FastQC	all_sections	SRR21096545_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Liver/SRR21096545_2_fastqc.zip
FastQC	all_sections	SRR21096539_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Liver/SRR21096539_2_fastqc.zip
FastQC	all_sections	SRR21096539_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Liver/SRR21096539_1_fastqc.zip
FastQC	all_sections	SRR21096539_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Liver/SRR21096539_2_paired_fastqc.zip
FastQC	all_sections	SRR21096539_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Liver/SRR21096539_1_paired_fastqc.zip
FastQC	all_sections	SRR21096545_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Liver/SRR21096545_1_paired_fastqc.zip
FastQC	all_sections	SRR21096545_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Liver/SRR21096545_2_paired_fastqc.zip
FastQC	all_sections	SRR21096550_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Gonads/SRR21096550_2_paired_fastqc.zip
FastQC	all_sections	SRR21096550_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Gonads/SRR21096550_2_fastqc.zip
FastQC	all_sections	SRR21096550_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Gonads/SRR21096550_1_fastqc.zip
FastQC	all_sections	SRR21096542_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Gonads/SRR21096542_1_fastqc.zip
FastQC	all_sections	SRR21096542_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Gonads/SRR21096542_2_fastqc.zip
FastQC	all_sections	SRR21096542_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Gonads/SRR21096542_2_paired_fastqc.zip
FastQC	all_sections	SRR21096542_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Gonads/SRR21096542_1_paired_fastqc.zip
FastQC	all_sections	SRR21096550_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_adamanteus/Gonads/SRR21096550_1_paired_fastqc.zip
FastQC	all_sections	SRR11816476_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Liver/SRR11816476_2_fastqc.zip
FastQC	all_sections	SRR11816476_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Liver/SRR11816476_1_fastqc.zip
FastQC	all_sections	SRR11816478_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Liver/SRR11816478_2_fastqc.zip
FastQC	all_sections	SRR11816478_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Liver/SRR11816478_1_fastqc.zip
FastQC	all_sections	SRR11816476_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Liver/SRR11816476_1_paired_fastqc.zip
FastQC	all_sections	SRR11816476_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Liver/SRR11816476_2_paired_fastqc.zip
FastQC	all_sections	SRR11816478_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Liver/SRR11816478_1_paired_fastqc.zip
FastQC	all_sections	SRR11816478_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Liver/SRR11816478_2_paired_fastqc.zip
FastQC	all_sections	SRR11816479_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Gonads/SRR11816479_1_fastqc.zip
FastQC	all_sections	SRR11816479_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Gonads/SRR11816479_2_fastqc.zip
FastQC	all_sections	SRR11816479_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Gonads/SRR11816479_1_paired_fastqc.zip
FastQC	all_sections	SRR11816479_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Crotalus_tigris/Gonads/SRR11816479_2_paired_fastqc.zip
FastQC	all_sections	SRR9596707	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Pantherophis_guttatus/Liver/SRR9596707_fastqc.zip
FastQC	all_sections	SRR9596715	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Pantherophis_guttatus/Liver/SRR9596715_fastqc.zip
FastQC	all_sections	SRR9596699	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Pantherophis_guttatus/Gonads/SRR9596699_fastqc.zip
FastQC	all_sections	SRR9596714	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Pantherophis_guttatus/Gonads/SRR9596714_fastqc.zip
FastQC	all_sections	SRR9596713	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Pantherophis_guttatus/Gonads/SRR9596713_fastqc.zip
FastQC	all_sections	SRR9596698	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Pantherophis_guttatus/Gonads/SRR9596698_fastqc.zip
FastQC	all_sections	SRR33450572_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Thamnophis_sirtalis/Liver/SRR33450572_1_fastqc.zip
FastQC	all_sections	SRR33450572_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Thamnophis_sirtalis/Liver/SRR33450572_2_fastqc.zip
FastQC	all_sections	SRR869504_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Thamnophis_sirtalis/Gonads/SRR869504_1_fastqc.zip
FastQC	all_sections	SRR869504_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Thamnophis_sirtalis/Gonads/SRR869504_2_fastqc.zip
FastQC	all_sections	SRR6662600_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Podarcis_muralis/Gonads/SRR6662600_2_fastqc.zip
FastQC	all_sections	SRR6662600_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Podarcis_muralis/Gonads/SRR6662600_1_fastqc.zip
FastQC	all_sections	SRR6662598_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Podarcis_muralis/Gonads/SRR6662598_1_fastqc.zip
FastQC	all_sections	SRR6662598_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Podarcis_muralis/Gonads/SRR6662598_2_fastqc.zip
FastQC	all_sections	SRR8468522_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Podarcis_muralis/Skin/SRR8468522_2_fastqc.zip
FastQC	all_sections	SRR8468522_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Podarcis_muralis/Skin/SRR8468522_1_fastqc.zip
FastQC	all_sections	SRR14517640_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Gonads/SRR14517640_1_fastqc.zip
FastQC	all_sections	SRR14839288_1	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Gonads/SRR14839288_1_fastqc.zip
FastQC	all_sections	SRR14517640_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Gonads/SRR14517640_2_fastqc.zip
FastQC	all_sections	SRR14839288_2	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Gonads/SRR14839288_2_fastqc.zip
FastQC	all_sections	SRR14517640_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Gonads/SRR14517640_2_paired_fastqc.zip
FastQC	all_sections	SRR14517640_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Gonads/SRR14517640_1_paired_fastqc.zip
FastQC	all_sections	SRR14839288_1_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Gonads/SRR14839288_1_paired_fastqc.zip
FastQC	all_sections	SRR14839288_2_paired	/home/aubpma001/prdm9/Scripting_Group/script/raw_data/Chelonia_mydas/Gonads/SRR14839288_2_paired_fastqc.zip
